m/z;Intensity
150.9697;5398.8
150.9704;6789.5
150.9711;5917.6
152.9853;7145.5
152.986;8845.4
152.9867;7707.7
152.9875;4620.7
157.1224;5111
157.1231;5938.9
157.1239;4854
163.025;4538.5
167.0002;4459.7
167.001;8156.3
167.0019;10156.4
167.0027;8852.7
167.0035;5157.1
168.9625;6068.5
168.9633;7881.8
168.9642;7111.3
169.0505;5007.3
169.0862;6742.7
169.087;7576.8
169.0879;5858.6
170.833;4815.2
171.0297;4734.1
171.0652;8133.6
171.066;10414.9
171.0669;9316.9
171.0677;5644.3
171.1007;5784.1
171.1015;10533.6
171.1024;12916.9
171.1032;11120.5
171.1041;6442.3
171.1362;10211.7
171.137;28434.7
171.1379;47780.1
171.1387;55256.7
171.1396;45221.4
171.1404;25178.8
171.1413;8089.4
172.1419;5025
173.0086;5405.8
173.0094;5524.7
173.0438;5077.8
173.0447;8607.4
173.0456;9874.1
173.0464;7916.7
173.08;4470.4
173.0808;8379.3
173.0817;10445.4
173.0825;9101.4
173.0834;5324.2
175.0229;4796.8
175.0238;8526
175.0247;10292.7
175.0255;8739
175.0264;4985
176.9356;5032.5
176.9365;4723.4
177.0388;9936
177.0397;15638.6
177.0406;16981.8
177.0415;12961.5
177.0424;6526.8
179.0001;5965.6
179.001;9886.5
179.0019;11417.7
179.0028;9288.6
179.0037;5012
179.0535;25782.5
179.0544;64631.5
179.0553;101358.2
179.0562;110675.4
179.0571;85594.9
179.058;44613.8
179.0589;12964.3
180.0587;5668.7
180.0596;6051.5
180.0606;4450.8
181.0126;5792
181.0135;7066.8
181.0145;33751.3
181.0154;112519
181.0163;216058.4
181.0172;280919
181.0181;259254.1
181.0191;167354.2
181.02;68784.6
181.0209;13840.5
181.0218;6294
181.0227;4628.2
182.0186;5768.8
182.0196;10446.7
182.0205;13573.3
182.0214;12619.6
182.0224;8149.9
182.9957;7033.4
182.9966;8419.5
182.9975;7151.4
183.0116;5570.9
183.0125;9341.4
183.0134;10495.9
183.0144;8175.5
183.0658;5557
183.0667;5179.3
183.1014;4515.9
183.1023;5559.6
183.1032;4705.1
185.0447;6306
185.0457;6652.6
185.0466;4874.7
185.0809;6487.2
185.0818;7362.3
185.0828;5827.3
185.1532;7238
185.1541;9328.6
185.1551;8404.5
185.156;5140.7
186.9632;5407.7
186.9641;8101.4
186.9651;8439.4
186.9661;6160.5
187.024;4712.6
187.025;4917.1
187.0598;7118.1
187.0607;9477.4
187.0617;8762.1
187.0627;5511
187.0955;7355.5
187.0965;12323.2
187.0975;14100.5
187.0984;11335
187.0994;6044.9
189.0392;5163.7
189.0401;6474
189.0411;5634
191.0162;6299.6
191.0172;23706.5
191.0182;47247
191.0192;62745.8
191.0202;58894.5
191.0212;38640.1
191.0222;16119.5
193.0711;6326.6
193.0721;6297.6
194.9442;5039
194.9452;9363.4
194.9462;11469.4
194.9473;9820.3
194.9483;5703.8
194.9956;7057.5
194.9966;8663.3
194.9977;7406.1
195.1376;5381.8
195.1387;6984.5
195.1397;6234.9
196.8405;5116.9
196.8416;9021.2
196.8426;10661.8
196.8436;8795.8
196.8447;4833.7
197.0807;6786.2
197.0817;8077.3
197.0828;6657.4
198.8388;5654.5
198.8398;6283.6
198.8409;4837
199.0603;5942.3
199.0614;6319.7
199.0624;4549.6
199.0699;10812.1
199.0709;20841.7
199.072;26795.4
199.0731;24219.4
199.0741;15084.3
199.0752;5725.1
199.0975;4969.5
199.1665;4608.2
199.1675;15979.5
199.1686;30639.1
199.1696;39034.2
199.1707;34884.3
199.1718;21423.2
199.1728;7969.9
201.0398;5189.5
201.0409;5051.2
201.0753;4430.8
201.0764;5815.3
201.0775;5189.8
203.0555;5507.2
203.0566;5241.1
207.1361;4996.8
207.1372;10628.5
207.1384;14724.8
207.1395;14230.2
207.1406;9472.8
209.0091;8754.9
209.0102;22136.4
209.0114;35634.3
209.0125;39869.2
209.0137;31485.3
209.0148;16654.7
209.016;4786.6
211.0975;4843.3
211.1334;4482.7
213.1491;4861
213.1503;4431.6
213.1832;6226.2
213.1844;10693.7
213.1856;12583.8
213.1868;10382.7
213.1879;5719.8
215.0282;7898.7
215.0294;28682.6
215.0306;65129.4
215.0318;97929.7
215.033;103453.6
215.0342;77049.6
215.0353;37982.4
215.0365;9854.9
215.0556;5603
215.0568;5031
215.0651;5848.9
215.0663;9154.2
215.0675;9834.9
215.0687;7242.6
216.0346;4507.8
216.0358;5676.2
216.037;4972.2
217.0264;9041.5
217.0276;20349.2
217.0288;30675.7
217.03;32604.1
217.0312;24505.1
217.0324;12360.1
217.0469;6533.5
217.0481;8066.3
217.0493;6937.9
219.1727;4599.7
219.1739;7301.2
219.1751;8265.1
219.1763;6618.8
220.1429;8767
220.1442;21147.7
220.1454;33305
220.1466;36529.9
220.1479;28186.3
220.1491;14420.2
221.1495;4832.1
221.1507;4533
222.967;5115
222.9682;6070.6
222.9695;4961.8
223.1318;8397.6
223.1331;12677.5
223.1343;13171.4
223.1356;9474.6
225.1856;4482.5
226.0099;6177
226.0112;9813.9
226.0125;10610
226.0137;7936.7
227.0906;5018.4
227.0919;7108
227.0932;6907.9
227.0945;4486.7
227.101;6534.4
227.1023;12573.9
227.1035;15658.7
227.1048;13507.5
227.1061;7854
227.198;8626.4
227.1992;20555.8
227.2005;30112.5
227.2018;30248.8
227.2031;20966.5
227.2044;9152.9
229.0815;8233.2
229.0828;10571.3
229.0841;9353.4
229.0854;5612.3
233.152;7968.3
233.1533;13605
233.1547;15359.2
233.156;11942
233.1573;6014.5
235.0475;4551.6
235.0489;6009.4
235.0503;5286.8
235.1701;5018.6
235.1715;4471.4
239.1265;8844.3
239.1279;13518.4
239.1293;14231.7
239.1307;10430.6
239.1321;4929.9
241.1069;4449.1
241.1083;5031.6
241.1168;6600.2
241.1182;10863.2
241.1196;12166.2
241.121;9528.4
241.1224;4912.5
241.1436;4753.8
241.145;4853.7
241.213;4702.3
241.2144;11892.5
241.2158;18642.2
241.2172;20200.1
241.2186;15370.3
241.22;7730.9
241.2512;7506.9
241.2526;11986.9
241.254;13155.9
241.2554;10119.5
241.2568;5116.2
242.1725;8760.8
242.1739;19656.3
242.1753;28293.4
242.1767;28476
242.1782;20069.7
242.1796;9117.9
243.0604;6248.2
243.0618;8115.4
243.0633;7372.9
243.0647;4549.3
244.0828;4672.7
250.1426;5007.7
250.1441;6901.3
250.1456;6525.3
253.1433;6943.1
253.1449;7500.7
253.1464;5606.7
253.2133;4515.2
253.2149;9622.9
253.2164;13105
253.2179;12415.6
253.2194;8103
255.0867;5514.9
255.0882;5369.8
255.1221;5344.4
255.1236;6560.3
255.1252;5600.7
255.2283;10629.9
255.2299;27379
255.2314;43394.7
255.233;47720.5
255.2345;37109.6
255.236;19387.4
255.2376;5537.9
256.234;5683.5
256.2356;7349.8
256.2371;6611.9
257.0743;4967.1
257.0759;10276.2
257.0774;13683
257.079;12740.3
257.0805;8204.4
259.1278;6773.4
259.1294;9249.9
259.1309;8715.9
259.1325;5584.7
261.1231;11831.1
261.1247;20340.3
261.1262;23865.7
261.1278;19752.5
261.1294;10993.3
263.0802;5248.7
263.0818;4587.9
263.1205;4520.1
263.1221;6821.9
263.1237;7269.4
263.1253;5523.1
265.1214;5217.2
265.1426;14883
265.1442;51261.5
265.1459;97264.7
265.1475;124157.3
265.1491;112129.9
265.1507;70416.3
265.1524;27678.4
265.154;4947.3
266.1484;8505
266.1501;13307.5
266.1517;14115.6
266.1534;10361.4
266.155;4879.1
269.1372;4651.7
269.1389;6036.1
269.1405;5437
269.2123;4631.1
269.2473;4725.8
269.249;4800.6
269.2807;10229.8
269.2824;23542.9
269.284;34654.9
269.2857;35730.7
269.2874;25940.4
269.289;12356.8
270.2867;5308.9
270.2884;6240.5
270.2901;5120.3
278.9919;6176.6
278.9936;8698.9
278.9954;8411.8
278.9971;5539.3
283.2597;11061.4
283.2615;23269.1
283.2633;31740.9
283.2651;30313.7
283.2669;20119.3
283.2687;8378.9
284.2655;4707.2
284.2673;5691.2
284.2691;4737.8
285.1238;5166.2
285.1256;6678
285.1274;5972.4
285.2402;5089.4
285.242;8310.9
285.2438;9050
285.2457;6766.9
287.2176;4524.6
287.2195;11743.3
287.2213;18293.6
287.2231;19578
287.225;14654.4
287.2268;7189
291.1971;4547.8
291.199;6216.5
291.2009;5958.5
293.1705;4558.4
293.1724;9035.1
293.1743;16391.5
293.1762;32533.2
293.1781;49870.9
293.18;52001.6
293.1819;36241.6
293.1838;15267
294.1819;5223.2
294.1838;5699.1
297.149;5338.3
297.1509;8815.2
297.1529;10029.7
297.1548;7993
297.2419;5702.9
297.2438;6152.2
297.2458;4598.6
298.7791;5015.3
298.7811;5676.5
298.783;7157.4
298.785;9132.3
298.7869;11096.3
298.7889;12387.1
298.7908;13446.3
298.7928;14399.4
298.7947;15491.4
298.7967;15492.7
298.7986;14663.7
298.8006;14002.1
298.8025;13290.3
298.8045;12209.7
298.8064;10039.2
298.8084;7205
298.8103;4894.6
299.2576;4894.6
299.2596;5209.5
309.1654;14804.1
309.1675;31016.4
309.1695;41278.5
309.1716;37703.2
309.1736;24436.7
309.1757;13025.8
309.1778;7371.4
310.172;6717.8
310.1741;6838
310.1762;4443.7
311.1628;11005.9
311.1649;26007.2
311.167;39409.4
311.1691;41672.5
311.1711;31007.4
311.1732;15301.4
311.1815;11289.4
311.1836;21779.7
311.1857;27973.3
311.1877;25212.6
311.1898;15709.5
311.1919;5997.1
312.1688;4613.3
312.1709;6430.3
312.173;6133.8
312.1896;4659.3
313.232;4995.5
313.2341;14285.4
313.2362;24262.7
313.2383;28013.8
313.2404;22612.2
313.2425;12165.7
313.2697;7086
313.2718;14500.7
313.2739;19439.8
313.276;18163.5
313.2781;11682.1
313.2802;4649.4
314.2417;4838.6
315.1147;5366.1
315.1168;10987.9
315.1189;14413.2
315.1211;13197.3
315.1232;8310.4
321.2069;8000.5
321.2091;11522.4
321.2113;11517.3
321.2135;8185.4
321.2156;4490.7
325.1618;5824
325.164;9089.6
325.1662;9710.3
325.1684;6978.6
325.1773;9041.9
325.1795;25152.4
325.1817;43658.9
325.1839;51812.1
325.1861;43302
325.1883;24521.9
325.1906;7900.3
326.1852;7625.4
326.1875;9026.9
326.1897;7385.8
327.18;4923
327.1823;4614
328.1479;5645.4
328.1502;8353.1
328.1524;8369
328.1547;5695.6
329.1495;6260.4
329.1517;8290.7
329.154;7764.9
329.1562;5285.8
333.1053;12471.6
333.1076;26428.2
333.1099;36577.5
333.1122;35408.6
333.1145;23921.5
333.1168;10434.8
334.1135;4739.8
334.245;7966.5
334.2473;21354
334.2496;34958.4
334.252;39059.9
334.2543;30523.7
334.2566;15859.6
334.2589;4444.2
335.1031;4770.8
335.1054;8925.1
335.1077;11048.2
335.11;9625.1
335.1124;5918.6
335.2514;4568.9
335.2538;6614.3
335.2561;6490.1
336.2438;5075.3
336.2461;9510.2
336.2484;11804.6
336.2507;10232.6
336.2531;6121.8
337.2007;4504.8
337.2031;8701.9
337.2054;10740
337.2077;9043.9
337.2101;5069.8
339.193;7352.5
339.1954;21138.1
339.1977;35045.2
339.2001;39196.6
339.2025;30530.1
339.2048;15729.8
340.2005;5741.3
340.2029;7260.1
340.2053;6281.8
341.2626;12919.6
341.2649;40774.5
341.2673;69996.5
341.2697;80190.1
341.2721;63862.6
341.2745;33898.4
341.2769;9948.8
342.2674;5726.7
342.2698;12160.1
342.2722;16240.3
342.2745;14886.5
342.2769;9235
345.1413;7143.4
345.1438;16361.6
345.1462;23050
345.1486;22433.9
345.151;15266
345.1535;6879.4
347.141;5051.3
347.1435;6802.5
347.1459;6480.5
349.1039;6684.2
349.1063;7457.9
349.1088;5740.5
349.237;4674.9
349.2394;8080.9
349.2419;9257.6
349.2444;7429.7
353.1977;7004
353.2002;8581.8
353.2027;7284.1
361.1373;5546.8
361.1399;8985.2
361.1425;10000.9
361.1451;7830.8
361.2359;8055.9
361.2385;15510.5
361.2411;19771.5
361.2437;17707.5
361.2463;10961
362.2755;25013.1
362.2781;63734.8
362.2807;100463.3
362.2834;109621.6
362.286;84293.6
362.2886;43347.1
362.2912;12218.9
363.2805;9107.5
363.2831;17675
363.2857;22552.8
363.2883;20105.3
363.2909;12241.8
364.2738;12758.9
364.2764;25524.8
364.279;33669.6
364.2817;31435.3
364.2843;20906.2
364.2869;9647.8
365.2396;5305.4
365.2422;9039.2
365.2448;11714.6
365.2475;11103.1
365.2501;7319.5
365.2791;4492.3
365.2818;6830.2
365.2844;6957.1
365.287;4892
369.2968;4786.3
369.2995;6756.2
369.3021;6617.7
369.3048;4479.2
372.3014;6114.6
372.3042;7458.5
372.3069;8235.4
372.3096;9005.4
372.3123;8694.3
372.315;6396.9
375.2111;13485.9
375.2139;56793.2
375.2166;120811.6
375.2193;168906.8
375.2221;166495.4
375.2248;115549.1
375.2276;52524
375.2303;12359.4
376.218;13363.6
376.2207;25905.1
376.2235;33298.8
376.2262;30088.5
376.229;18762.5
376.2318;7159.9
377.2151;5133.4
377.2178;6967.2
377.2206;6094.7
377.2234;5703
377.2261;19856.7
377.2289;86137.9
377.2317;196283.1
377.2344;291884.2
377.2372;305644
377.24;226968.9
377.2427;112983.3
377.2455;31299.5
377.2483;5051.6
378.2328;18912.5
378.2356;40977.4
378.2384;57811.3
378.2411;57234.9
378.2439;39739.6
378.2467;17941.5
379.2268;5553.3
379.2296;9833.2
379.2323;11957.8
379.2351;11273
379.2379;9277.9
379.2407;7537.8
379.2435;6128.5
381.2293;5008
381.2321;5472.6
381.2349;4487.2
383.2279;5832.4
383.2307;6072.6
389.2637;6862.9
389.2666;21342.2
389.2695;38348.4
389.2724;46986.3
