m/z;Intensity
150.0021;637.2
150.0088;19.7
150.0318;5
150.0563;5.4
150.061;5.2
150.0999;4.6
150.1876;5.5
150.2854;4.2
150.3776;3.7
150.3831;4.4
150.3989;4.1
150.4276;4.6
150.5661;5.1
150.5729;5.2
150.5828;4
150.5864;4.5
150.7166;4
150.7968;4
150.8298;27.7
150.9704;955.5
151.0036;4.3
151.0132;4
151.0399;952.2
151.0588;4.8
151.072;5.1
151.0764;166.8
151.2428;3.8
151.2756;5
151.3889;4.5
151.4967;3.8
151.5563;4.3
151.6496;4.5
151.6951;4.9
151.7055;4.7
151.796;23.7
151.9586;9.8
152.0352;608.1
152.0432;10.7
152.046;17.2
152.0604;4.4
152.0667;4.2
152.0868;4.6
152.0964;33.1
152.1912;16.7
152.3633;10.2
152.3973;4.1
152.4393;4.8
152.4759;5
152.5642;4.6
152.6179;4
152.6642;4.1
152.7143;5.2
152.8096;4.6
152.9047;4.2
152.986;1224.5
153.0063;13.1
153.0559;14.4
153.0765;4.6
153.0853;26.6
153.0919;78.5
153.1479;4.4
153.3189;23.5
153.3878;17.9
153.4588;4.4
153.4762;4.4
153.6212;4.7
153.6458;6.4
153.6574;4.3
153.6587;5.8
153.7138;36.9
153.7241;4.5
153.8629;4.8
153.88;4.7
153.9341;7.9
153.9918;4.4
154.1538;4.3
154.1727;4.7
154.2094;4.3
154.2293;3.8
154.2823;9.5
154.3364;4.8
154.3771;19.7
154.3844;4.5
154.5543;4.7
154.6409;19.5
154.6703;4.1
154.711;11.9
154.8479;5
154.9249;4.2
154.9775;4.3
155.0183;4.5
155.0498;4.2
155.0711;177.2
155.1076;238.4
155.2487;5.4
155.3701;41.6
155.6486;36.5
155.6873;4.8
155.7201;33.1
155.7633;5.2
155.7741;3.9
155.7926;4.2
155.8012;6.7
155.8535;4
155.8603;4.1
155.9293;42.2
155.9403;27.9
155.9994;6.8
156.009;4.2
156.0344;4.3
156.0611;4.6
156.0645;4.2
156.0712;4.7
156.0913;4.2
156.1111;4.5
156.1332;22.9
156.4421;4.3
156.5223;4.3
156.6711;5.1
156.7046;3.7
156.7837;4.2
156.8209;4.4
156.826;4.1
156.9164;4
156.9813;4
157.0125;27.3
157.0242;4.2
157.0369;5
157.0504;19.2
157.0757;4.1
157.0868;982.9
157.0942;3.9
157.1231;11528.3
157.1518;5.2
157.2175;5
157.2626;4.6
157.2921;10.4
157.337;3.9
157.3568;4.8
157.5616;4.2
157.5653;4.1
157.622;3.9
157.6443;4
157.6492;4.5
157.6888;4.2
157.7642;4.5
157.8449;4.7
157.8501;5.5
157.8948;4.5
158.0901;17.7
158.1066;16.3
158.1265;777.2
158.146;5.4
158.1859;4.3
158.47;5.6
158.4987;6.3
158.7021;5.5
158.8702;14.3
159.0082;4.3
159.0313;19
159.0668;27.3
159.0728;4.2
159.1024;15.4
159.1786;13.3
159.2206;3.9
159.2448;4.6
159.2843;5.2
159.4393;3.9
159.4501;3.9
159.4627;4.6
159.6447;4.5
159.65;4.1
159.6846;16.4
159.8689;4
159.9218;3.8
160.1512;21.9
160.1874;20.8
160.1962;4.4
160.2062;4.6
160.2549;5.5
160.2674;27.5
160.2784;4.3
160.2838;4.6
160.3739;4.4
160.3817;4.5
160.4095;4.2
160.4434;4.6
160.5261;4.6
160.5516;4.6
160.6115;4.2
160.7718;25.4
160.7791;4.1
160.8818;4
161.046;327.8
161.056;4.5
161.0607;3.8
161.1157;4.8
161.1734;4.4
161.2274;4.1
161.3496;4.5
161.4088;5
161.5142;4.3
161.5272;4.4
161.535;4.2
161.5729;5.1
161.5878;4.1
161.6515;41.1
161.67;4.2
161.7163;8.4
161.7657;4
161.7928;4.6
161.9028;4.6
161.9157;4
161.9895;18.8
161.9973;4
162.098;4.4
162.2673;39.1
162.285;3.9
162.3691;4.8
162.407;4
162.4893;4.1
162.5857;4.4
162.7574;4
162.7694;4.5
162.8159;4.9
162.9033;227.3
163.025;929.7
163.0758;7.7
163.0989;4.4
163.2533;24.6
163.3851;4.9
163.4622;4.3
163.5251;4.7
163.6053;4.3
163.6549;4.6
163.7055;5.1
163.8071;4
163.8712;4.1
164.0124;65
164.1583;4
164.1658;3.6
164.1687;4.8
164.1925;4
164.2331;4.6
164.2636;4.4
164.4198;4.1
164.4725;4
164.4838;5.8
164.5658;4.4
164.6394;4.2
164.9;357.5
164.9593;45.3
164.9864;352.7
165.0195;324.4
165.0408;531
165.0558;100.7
165.0743;4.5
165.0929;71.1
165.1673;4.3
165.1801;4.2
165.3315;6.5
165.484;4.4
165.4878;4.5
165.5432;4.8
165.5835;4.2
165.8581;4.2
165.9005;31.5
165.9301;4.4
165.9713;4.1
166.0051;5.3
166.0145;37.7
166.0402;40.6
166.0442;13.6
166.0507;207.7
166.0989;39.6
166.3344;4.6
166.3782;4.4
166.4075;6.6
166.4434;4.7
166.4559;3.9
166.8852;4.7
166.9656;314.9
167.002;1613.8
167.0198;4.9
167.035;668.8
167.0712;474.8
167.0823;22.2
167.1076;530
167.1139;4.9
167.3007;4.7
167.3859;3.8
167.6905;5.1
167.7117;4.7
167.8109;17.8
167.8153;42
167.8374;4.3
167.8668;4.6
167.9916;21.1
168.003;4.6
168.03;546.2
168.0577;3.8
168.0666;58.1
168.079;50.5
168.1814;4.6
168.2652;4.1
168.2735;4.2
168.3651;4
168.3692;4.5
168.4102;5
168.4709;5.8
168.6312;4.5
168.7198;4.1
168.7788;4.8
168.8047;54.3
168.8362;17939.8
168.843;60.4
168.8695;5.3
168.9316;41.1
168.9635;1036.7
168.9812;661.8
169.0043;4.3
169.0142;419
169.0506;557.4
169.0868;2488.2
169.1058;4.3
169.1231;1279.8
169.1283;4.3
169.1569;3.8
169.2085;3.8
169.2606;4
169.3362;4.3
169.3716;4.4
169.524;30.7
169.5506;4
169.8432;4.8
169.9096;4.7
169.9616;4.6
170.0043;9.1
170.0093;46.1
170.0279;225.5
170.0462;126.1
170.058;13.9
170.0901;84
170.1048;54.2
170.1265;31.6
170.1403;4.6
170.1674;4
170.1886;4.4
170.2699;4.8
170.2753;4
170.2769;5.3
170.2784;4.7
170.2869;35.4
170.3114;4.6
170.49;4.8
170.5156;17.8
170.5873;76.7
170.7031;4.3
170.7528;4.3
170.801;58.5
170.8227;50
170.826;172.6
170.8331;29456
170.8653;102
170.8785;9.4
170.9441;9.2
170.9617;15.2
170.9698;289.9
170.9746;4.4
170.9859;40.8
170.9936;260.4
170.9965;219.3
171.0298;551.6
171.0412;219.5
171.0661;1713.1
171.0728;4.3
171.0939;5
171.1024;5438.3
171.1387;49290.7
171.1455;268.1
171.1542;9.3
171.1561;9.3
171.1607;3.8
171.171;229.8
171.2361;155
171.2522;9.7
171.3851;4.4
171.4013;3.9
171.4216;4.7
171.4297;4.5
171.5039;9
171.5187;4.7
171.5256;5.2
171.5766;4.5
171.5819;4.3
171.6277;4.7
171.6991;4.2
171.7918;4.1
171.8342;1265
171.8984;4.9
172.0254;49.7
172.0614;55.9
172.0691;14.9
172.1056;348.8
172.142;4743
172.1838;4.5
172.3724;4.5
172.6556;14.7
172.6865;4.3
172.6965;3.6
172.6978;3.6
172.7027;5.1
172.73;4.5
172.7964;4.2
172.8301;13117.6
172.8375;64.2
172.8642;12.7
172.9094;3.9
172.9854;41.6
173.009;1089.8
173.0257;5
173.0455;1201.5
173.0817;1651.9
173.1179;439.8
173.1447;138.4
173.1542;5.6
173.2812;5.3
173.4234;4.2
173.4357;4
173.4738;4.4
173.4998;4.8
173.5372;4.2
173.7701;10.9
173.8025;37.1
173.8312;1366.7
173.9287;4.6
173.9407;4.3
174.0114;37.1
174.0406;204.3
174.0494;20.1
174.0774;36.6
174.0847;6.6
174.1215;46.3
174.1391;4.3
174.2922;4.1
174.6928;4.6
174.7193;6.7
174.826;1632.1
174.8292;5510.8
174.8734;35.8
174.9236;4.7
175.0246;1558.3
175.0394;5
175.061;521
175.097;5.7
175.1384;16.6
175.1595;4.6
175.1972;4.9
175.2546;4
175.2882;4.1
175.316;5
175.375;4.1
175.5343;4.7
175.5948;4.4
175.7351;4
175.7665;4.7
175.8282;359.5
175.8402;3.9
175.8656;17.4
176.0902;35.4
176.1267;4
176.4033;4.1
176.409;5.6
176.5096;4.6
176.5807;4.4
176.6194;4.4
176.6549;4.5
176.7508;5
176.7875;43.3
176.8261;1746.1
176.8364;33.7
176.9022;43.8
176.9267;140.7
176.9359;6367.4
176.9783;4.1
177.0223;74.5
177.0403;2532.5
177.0554;347.3
177.0917;2783.2
177.1969;4
177.2153;4.3
177.2315;8
177.2328;9.2
177.2429;4.5
177.5348;5.2
177.5702;4.4
177.6501;4.5
177.7499;4.4
177.7577;4
177.8317;4
177.853;5.3
178.0002;4.4
178.0233;4.7
178.0441;48
178.0702;4
178.0895;5.2
178.095;200.1
178.0995;205.9
178.138;5.1
178.3207;4.5
178.3316;4.3
178.4547;18.6
178.4991;4.3
178.5459;4.2
178.5721;18.9
178.6156;4.3
178.7055;21.9
178.7335;4.4
178.8231;135.1
178.8356;24.6
178.8582;4.2
178.9516;63.5
178.9652;81.8
179.0018;1406
179.0348;153.2
179.056;19550.4
179.0632;50.5
179.071;566
179.0862;4.1
179.0898;45.8
179.1073;364.5
179.1531;4.5
179.1707;5.6
179.1918;4.1
179.3655;4.9
179.4043;4.4
179.7353;4.3
179.8058;4.6
179.8099;4.6
179.8814;4.7
179.9972;8.3
180.0298;17.7
180.0485;4.7
180.0593;1068.8
180.0663;153
180.0786;18.2
180.2671;4.2
180.3153;3.9
180.3529;4.1
180.3971;3.9
180.5185;4.4
180.6737;4.1
180.7315;4.3
180.7443;3.8
180.9309;37.8
180.9726;4.8
180.9813;330.3
180.9905;277
181.0045;4.3
181.0103;182.5
181.0175;37138.2
181.0505;503.3
181.0605;42
181.067;9.7
181.0816;13.6
181.0868;686.7
181.123;96.7
181.1516;4.3
181.1709;4.7
181.2828;4.5
181.3731;4.8
181.4576;4.6
181.508;4.7
181.5105;5.4
181.5123;4.2
181.5446;4
181.7312;4.7
181.7768;4.9
181.8842;5.8
182.0094;72.7
182.0207;1790.2
182.0456;216.4
182.0946;6.1
182.2081;5.3
182.3159;4.2
182.3334;4.3
182.3673;4
182.3753;4.7
182.4265;4.2
182.5091;4.8
182.6122;4.7
