m/z;Intensity
150.0087;18.7
150.0706;19.6
150.1056;21.7
150.1189;21.2
150.1551;16.8
150.2218;18.7
150.27;19.8
150.2847;18.7
150.4217;4.2
150.4338;24.5
150.4617;27.7
150.5079;25.9
150.5586;21.9
150.5651;27.6
150.6277;18.7
150.8042;13.2
150.8566;21.2
150.8825;38.4
150.8988;22.3
150.9705;552.1
150.9844;28.6
151.0532;21
151.0696;38.6
151.0806;19
151.0898;18.1
151.13;19.9
151.1959;24.9
151.2104;19.2
151.2171;7.7
151.3889;14.1
151.4085;25.8
151.4266;17.8
151.4304;25.2
151.4795;14
151.5396;10.2
151.6284;25
151.6387;34.8
151.6743;22.8
151.682;23.9
151.7267;15
151.7327;21.6
151.7465;32
151.8218;20
151.865;17.2
151.9411;21.1
151.9498;13.9
151.9563;16.7
152.0344;14
152.1149;14
152.1249;20.1
152.1473;23.4
152.1704;18.3
152.1928;16.7
152.3045;18.3
152.3135;19.7
152.5048;19.9
152.5191;14.7
152.526;20.6
152.5853;19.6
152.6015;17.1
152.6297;13.2
152.6407;15
152.6749;14.7
152.684;22.8
152.707;18.5
152.7102;19.7
152.7119;21.7
152.7134;19
152.7377;21.5
152.7447;17.2
152.7551;18.4
152.7768;20.7
152.8067;20.1
152.8173;17.4
152.826;14
152.8367;18.5
152.8433;23
152.8898;33
152.9502;17.4
152.9761;21.4
152.986;186.9
153.0515;17.4
153.0823;19.9
153.1873;20.3
153.2839;4.1
153.3184;21.7
153.3752;17.8
153.3969;12.8
153.4212;35.4
153.4237;28.7
153.4255;20.3
153.4508;2.9
153.5649;7.2
153.6243;5.9
153.6865;16.7
153.8366;21.6
153.8604;16.5
153.8822;25.6
153.9461;23.9
154.0157;16.1
154.0833;12.6
154.1122;17.1
154.1601;20.7
154.218;18.6
154.2622;23.3
154.3147;15.1
154.3358;20.2
154.3628;25.4
154.5563;16
154.5829;10.8
154.6311;18.1
154.653;19.4
154.6683;25.3
154.6794;14.8
154.7384;19.7
154.7427;45.1
154.7778;16.8
154.793;19.7
154.8772;3.8
154.9279;16.3
154.9506;23.9
155.13;17.1
155.1438;18.7
155.326;25.3
155.3424;14.6
155.4038;17.7
155.4326;27.8
155.439;16.8
155.4581;23.9
155.5206;20.3
155.545;18.6
155.5504;43
155.589;19.3
155.6113;21.3
155.6529;15.3
155.8072;18.9
155.9125;15.7
155.934;22.4
156.0486;47.4
156.0629;23.4
156.0885;19.5
156.1135;19
156.1444;22.1
156.17;18.2
156.1846;17.8
156.215;14.9
156.2184;23.3
156.2768;17.1
156.3448;16.4
156.3616;16.3
156.3821;19
156.4299;18.5
156.4513;40.9
156.454;7.1
156.4583;22.3
156.463;32
156.4695;19.4
156.5866;18.1
156.6129;19.1
156.7229;18.1
156.7832;30.8
156.8242;22.7
156.889;4.4
157.0908;30.4
157.1692;28.3
157.2013;6.7
157.3212;26.2
157.3557;18.8
157.4525;3.9
157.5675;19.5
157.5781;21.3
157.5817;22
157.5936;50.2
157.6821;20.4
157.7731;21.9
157.7906;15.3
157.8292;22.5
157.8338;18.2
157.841;35.4
157.9343;21.8
158.0209;15
158.0514;18.8
158.0874;9.4
158.0977;21.7
158.1258;23.8
158.1368;14.3
158.1518;17.7
158.1813;31.5
158.2112;15.1
158.2383;14.5
158.2401;16.5
158.2413;18
158.2859;23.3
158.3068;20.7
158.3083;19.6
158.3286;28
158.3424;24.9
158.3556;24.1
158.3593;23.5
158.3841;22.5
158.4681;23.1
158.5606;17.8
158.5708;25.3
158.5772;22.5
158.6075;16.5
158.6169;19.9
158.623;16.1
158.7026;2.5
158.7043;4.9
158.7062;5.2
158.7178;17.8
158.8082;16.6
158.9022;20.6
158.9666;25.4
158.9889;7.4
159.0667;8.9
159.0724;28.2
159.0957;17.8
159.1724;31.6
159.2038;20.1
159.2111;6.1
159.2758;19.5
159.2985;16.5
159.3504;17.4
159.3581;19.2
159.3996;20.2
159.4926;18.2
159.4988;18.7
159.5113;4.9
159.6309;19.8
159.679;12.9
159.6821;18.9
159.7084;20
159.7484;23.2
159.8456;18.7
159.8495;16.4
159.8629;19.2
159.9413;21.2
159.9914;13.3
160.0187;19.3
160.0258;30.6
160.0463;22.4
160.0689;21.8
160.0708;25.9
160.0722;22.1
160.0968;17.8
160.1259;20.9
160.1717;16.4
160.1881;22.3
160.1941;18.3
160.384;21.5
160.4079;12.5
160.4324;18
160.5389;29.6
160.5404;25.2
160.6021;18.1
160.6192;16.2
160.6917;19.1
160.7057;34.4
160.7566;25.4
160.7783;14.3
160.7868;19.4
160.8977;16.6
160.9682;24.2
160.9851;18.3
161.0456;384
161.0729;16.4
161.0819;16.3
161.0877;15
161.0947;15.6
161.1048;16.7
161.1176;20.9
161.2138;28.7
161.2998;29.8
161.4428;16.9
161.5207;23.3
161.5748;20.8
161.6029;16.1
161.6273;16.7
161.7508;24.6
161.7718;12.8
161.8827;41.5
161.9463;18.7
161.9862;15.6
161.9949;23.8
162.0911;16.8
162.0996;36.3
162.1929;21.2
162.2486;4
162.296;21.8
162.3465;20.1
162.374;21.4
162.475;18.6
162.538;19.4
162.5593;17.1
162.576;22.3
162.6321;27.3
162.6653;25.8
162.6802;17.5
162.7048;18.6
162.7108;35.4
162.715;34.8
162.7337;27.1
162.7973;20.3
162.9029;1577.4
162.9464;13.2
162.9652;24.1
162.9719;16.5
162.973;20.3
162.9747;13.7
163.014;6.4
163.0181;16.8
163.0248;566.8
163.0406;35.3
163.0612;265.8
163.0651;16.3
163.1721;20.4
163.2142;26.4
163.2351;22.2
163.3031;18.3
163.3311;21.9
163.3333;17.1
163.3691;9
163.3802;16.3
163.456;24.7
163.4871;22.3
163.5041;23.1
163.565;22.7
163.5875;16.6
163.5934;28.8
163.6934;17.4
163.7309;29.2
163.7374;16.2
163.7436;20.4
163.7477;21.1
163.7701;22.9
163.7977;14.5
163.8677;22.1
163.933;6.4
163.9605;15.3
163.9965;15
164.0194;23.2
164.0386;19.6
164.0703;3.7
164.082;17
164.1159;30.3
164.1249;23
164.164;26.7
164.2063;21.7
164.2159;35.1
164.3596;19
164.3783;27.9
164.4614;27.4
164.487;18.5
164.5242;19.3
164.5668;18.5
164.6337;52.1
164.7243;13.7
164.7479;15
164.7672;19.6
164.8943;26.9
164.8998;4415.3
164.9269;19
164.957;265.2
164.9634;26
164.9774;23.9
164.9789;25.8
164.9808;16.6
164.9862;416.1
165.0191;163.8
165.0408;83.2
165.0556;57.4
165.089;28.8
165.092;30
165.1216;21.5
165.1383;21
165.175;16.5
165.2128;18.9
165.2661;19
165.3275;23.4
165.409;16.4
165.4153;6.5
165.4289;15.6
165.4974;24.3
165.5098;21.7
165.5357;15.4
165.5478;2.5
165.578;14.1
165.595;30.5
165.6158;16.6
165.6402;48.6
165.6574;12.5
165.7027;25.7
165.72;27.7
165.7542;22.2
165.8121;8.7
165.8283;19.3
165.83;24.5
165.8317;17
165.8514;28.4
165.9201;33.1
165.943;23.2
165.9859;24.8
166.0141;34.1
166.0508;80.2
166.0846;23
166.2098;23.2
166.2211;19
166.2301;18
166.239;23.1
166.2455;22.7
166.2572;27.9
166.3002;16.5
166.4659;21.4
166.646;17
166.6859;14.4
166.7023;19.9
166.7392;19.5
166.8425;21.6
166.8502;23.2
166.8604;1700.1
166.897;365.4
166.9331;18.9
166.966;18.7
166.9749;32.2
167.0018;5287.1
167.0113;51.1
167.0207;144.9
167.0246;23
167.0348;2430
167.0394;25.7
167.0422;32.2
167.0446;39.6
167.0712;1630.2
167.0821;279.5
167.0883;10.8
167.1072;284.2
167.13;23.7
167.1372;17.1
167.1538;18.4
167.2082;17.6
167.227;17.4
167.3136;22.8
167.3343;17.2
167.3703;21.9
167.4731;33.2
167.5029;20.8
167.5373;21.3
167.5684;23.7
167.5995;17
167.6105;39.8
167.6772;17.9
167.7667;12.7
167.9188;18
167.9422;20.6
167.9773;20.1
167.9847;18.8
167.9934;21.2
167.9977;24.5
168.0173;15.2
168.0299;549.3
168.0559;31.8
168.0665;402.4
168.1186;13.7
168.1245;41.3
168.2396;25.7
168.2743;18.1
168.3584;33.4
168.3732;23.6
168.3965;16.8
168.4209;22.7
168.4694;27.2
168.5657;17.9
168.6944;17.1
168.7023;22.4
168.7677;22
168.836;88
168.8574;2375.7
168.8785;20.5
168.8895;23.3
168.9155;14
168.9315;17.8
168.9482;26.1
168.9633;10879.1
169.0054;18.5
169.014;407.9
169.0504;5084.6
169.0557;21.6
169.0868;7345.6
169.0978;25.2
169.1234;18.2
169.2073;20
169.2238;19.2
169.2359;20.3
169.2906;21.1
169.3024;25.7
169.3626;14
169.3672;25.5
169.395;20.1
169.4172;20
169.4406;12
169.5158;13.5
169.5563;30.9
169.6243;40.5
169.7422;18.2
169.7682;16
169.8195;14.2
169.8681;20.2
169.9132;17.7
169.935;18.6
169.9604;26.3
169.9678;21.8
169.9936;44.7
170.0274;18.2
170.0457;235.9
170.0705;22.4
170.0771;18.4
170.0897;25.6
170.1057;26.6
170.1178;33.2
170.1412;19.8
170.1423;19.9
170.1644;19
170.3337;18.7
170.3481;36
170.5558;3.3
170.5845;14
170.6083;17
170.6534;3.5
170.6733;29.7
170.7302;16.7
170.7344;19.9
170.7981;19
170.8206;16.6
170.833;520.5
170.8543;442.2
170.8618;11.3
170.8871;13.5
170.902;716.1
170.944;741
170.959;44.6
170.9754;49.3
171.0053;19.8
171.0119;6.9
171.0296;1870.6
171.0408;216.8
171.066;10274
171.1024;6098.5
171.1252;6
171.1285;21.7
171.1388;1484.7
171.1659;11.4
171.1849;33.7
171.3663;31.8
171.463;20.6
171.4735;28.5
171.4827;22
171.5369;27.7
171.7094;16.9
171.7297;14.7
171.7371;36.5
171.7586;19.7
171.9101;17.7
172.0176;23
172.0251;19
172.0612;4186.2
172.0695;23.7
172.0976;9726.6
172.1059;14.7
172.1396;24.3
172.2318;14.9
172.2661;21.5
172.3126;16.4
172.3273;28.5
172.3502;28
172.4033;33.1
172.4257;18.5
172.4367;16.6
172.4815;20.9
172.5735;20.8
172.6295;29.4
172.7111;20.2
172.7861;14.9
172.8299;23.7
172.8595;16.3
172.8988;72.3
172.9312;29.8
172.9407;104.2
172.9546;16.5
173.0089;776.9
173.027;34.4
173.0407;38.9
173.0453;6660.3
173.0618;17.6
173.0816;9821.7
173.0929;926.4
173.1011;104.4
173.1055;25.2
173.1181;288
173.3186;18.3
173.3617;9.4
173.4548;26.1
173.498;12.8
173.5002;13.4
173.5182;17.4
173.5369;19.1
173.5731;20.2
173.6369;23.9
173.7029;22.1
173.7703;38.6
173.8115;40
173.8967;19.6
173.9224;20.4
173.9474;28.3
173.9564;18.7
174.0405;8257.7
174.0557;272.1
174.0767;149.3
174.0855;85.9
174.1135;15.7
174.1311;15.3
174.1515;13.6
174.201;15.9
174.3355;20.8
174.353;8.9
174.3701;35.2
174.4111;12.4
174.4942;25.1
174.5218;14.6
174.5454;18.1
