m/z;Intensity
150.002;30.9
150.0202;6.2
150.2805;12.2
150.3257;14.8
150.3556;27.7
150.4178;21.4
150.4374;12.4
150.5586;12.8
150.674;4
150.7206;17.7
150.7338;16.8
150.8865;701.6
150.9461;26.6
150.9706;125.7
151.0255;35.6
151.0399;583.9
151.0741;6
151.1149;14.9
151.1425;15.5
151.1779;7.8
151.2068;9.3
151.2463;9.9
151.295;23.8
151.341;25.3
151.386;6.2
151.4022;7.7
151.5676;12.6
151.7371;9
151.7466;7.7
151.8638;12.1
151.8662;10.9
152.0028;18.3
152.0204;18.1
152.0305;9
152.0351;42.3
152.0527;12.5
152.0802;12.1
152.1263;15.8
152.1488;31
152.1582;24.9
152.2276;6.9
152.2604;8.1
152.2752;18.3
152.31;10.6
152.3378;7.4
152.3606;12.5
152.3883;12.9
152.443;9.3
152.5031;9.6
152.5118;13.3
152.5388;16.4
152.553;6.2
152.5988;20.6
152.6347;8
152.8172;43
152.8393;10
152.8792;15.6
152.8835;434.3
152.8938;10.3
152.9126;4.1
152.9182;18.6
152.9346;9.9
152.9861;414.3
152.9993;58.3
153.0192;527.2
153.1034;3
153.1547;7
153.2168;7.4
153.2558;16.7
153.2681;7.7
153.3282;11.1
153.3376;2.7
153.3592;11.1
153.3603;12
153.3619;5.4
153.3741;4.3
153.4042;12.2
153.4071;17.9
153.5457;6.3
153.5968;4.3
153.63;11.9
153.653;7.6
153.6817;5.4
153.7068;24.6
153.7408;18.3
153.7494;5.2
153.871;16.7
153.9617;16.1
153.9939;35.1
154.0419;3.4
154.0621;26.2
154.2983;8
154.3801;6.4
154.4519;27.1
154.4605;18.5
154.4754;3.4
154.5255;7.9
154.5306;6.5
154.5386;14.3
154.5527;3.2
154.5567;16.3
154.5856;8.2
154.654;3
154.6587;8.1
154.7292;20.7
154.753;10
154.764;20.9
154.7701;21.6
154.7866;17
154.8806;73.8
154.9279;216.6
154.9557;27.6
154.9644;9.2
154.9821;23.3
155.0082;11.5
155.1698;28.6
155.291;6.4
155.2965;5.5
155.3403;3.8
155.3952;19.4
155.4985;14.2
155.623;14.6
155.7784;29.6
155.7903;10.2
155.8557;15.6
155.9137;15.1
155.9224;9.5
155.9336;17.3
155.9549;4.7
155.9601;3.3
156.042;31.2
156.0514;14.5
156.0891;18.3
156.3021;4
156.347;8.7
156.3972;11.4
156.4832;7.1
156.5996;15.9
156.637;7.7
156.9145;10.4
156.9672;9.1
156.9821;49.2
157.0351;19.8
157.0866;81.7
157.1232;752
157.1321;29.7
157.1571;11.5
157.2037;14.1
157.2205;13.5
157.2798;28.1
157.2922;11.4
157.3112;9.3
157.4409;24.5
157.4563;10.9
157.46;26.2
157.5855;23.6
157.7295;3
157.7477;14.2
157.7673;20.5
157.7754;12
157.7857;22.9
157.8334;23
157.8668;10.5
157.9769;18.6
158.0152;11.1
158.0198;11.1
158.0464;9.3
158.0826;63.6
158.1321;11.7
158.2644;16.1
158.315;16.1
158.4473;9
158.462;24.2
158.4684;18.6
158.5011;11.8
158.5184;24
158.6235;15.6
158.6535;3
158.7067;10.9
158.8345;10.1
158.8529;15.9
158.9364;28.3
158.9666;22.5
158.9878;7.7
159.0143;14
159.0306;43.8
159.0666;106.1
159.1666;8.1
159.1944;22.2
159.3026;10.3
159.3314;24.4
159.3585;23.2
159.4167;7.1
159.5774;16.5
159.5853;12
159.612;11.8
159.6164;27.6
159.7413;8
159.7556;36.6
159.799;11.7
159.8006;29.8
159.8016;28.5
159.9157;25.8
160.0466;37.5
160.062;250.3
160.1145;6.1
160.1572;12.1
160.1647;5.8
160.2192;25.9
160.2858;7
160.3275;11.9
160.4061;6.6
160.5143;7.3
160.5671;14.3
160.5758;29.5
160.6365;10.1
160.7392;14.8
160.7476;5.6
160.7732;25.8
160.7938;30.5
160.8041;12.7
160.8208;21
160.8265;39.4
160.9026;18.9
160.9134;26.9
160.9296;23.7
161.0458;2852.5
161.0691;30
161.0823;11.1
161.1682;18
161.2254;6.1
161.2331;9.4
161.2826;10.4
161.3058;17.7
161.3136;31.6
161.348;9.8
161.5631;19.6
161.5924;14.8
161.6538;6.3
161.7765;23.4
161.7909;11.7
161.8405;35.2
161.8596;2.8
161.9213;13.9
161.929;5.9
162.005;15.7
162.0491;54
162.0864;24.3
162.1241;18
162.1316;47.7
162.1704;15
162.1878;15.7
162.1951;19.3
162.1996;24.8
162.233;17.1
162.2848;34.6
162.3586;11.5
162.4021;7.5
162.4073;27.8
162.4287;19.3
162.5588;14.5
162.5879;24.2
162.6232;3.2
162.642;7.2
162.6645;25.6
162.6789;13.4
162.6867;3.6
162.7108;17.1
162.7305;22.9
162.7425;21.1
162.747;9.1
162.811;27.9
162.8422;5.6
162.903;2996.7
162.9362;12.9
162.9474;15.8
163.025;1491.6
163.0401;63.2
163.0613;246.6
163.0763;3.8
163.1093;26.5
163.168;10.9
163.2547;13.1
163.3093;10.2
163.3202;8.2
163.5293;9.8
163.5523;16.4
163.6276;11.2
163.6482;11.1
163.7127;16.8
163.7674;9.2
163.9289;12.4
163.9681;14
164.0715;26.3
164.0792;12.1
164.0849;4.2
164.0972;27.5
164.1644;18.8
164.1846;15.2
164.2922;7.8
164.3188;6.7
164.3249;8.1
164.3378;3.2
164.3937;15.3
164.4352;11.1
164.4513;14.9
164.5324;19.1
164.5676;26
164.5859;12.9
164.6651;7.3
164.6939;13.3
164.7323;27.4
164.7732;41.3
164.8117;3.5
164.8568;3.7
164.9;3716.5
164.9226;17.7
164.9572;199.6
164.9864;97.4
165.0086;15
165.0194;349.4
165.0408;982.3
165.0559;162.6
165.063;14.7
165.0925;98
165.1555;15.3
165.3095;4.3
165.515;13.5
165.5313;11.7
165.6019;7.8
165.6851;9.3
165.6978;51.3
165.7551;18.5
165.76;11
