m/z;Intensity
150.0018;437.3
150.0025;368.6
150.0032;194.3
150.0039;32.1
150.0046;1.4
150.0178;2.2
150.0185;2.8
150.0192;3
150.0198;2.8
150.0205;2.3
150.0254;20.6
150.0261;39.9
150.0268;47.7
150.0275;42.6
150.0282;31.9
150.1435;4.6
150.1442;10.3
150.1449;12.7
150.1456;11.2
150.1463;7
150.206;1.6
150.2067;2.7
150.2074;3.2
150.2081;2.8
150.2088;1.7
150.2993;1.7
150.3;2.8
150.3007;3.5
150.3014;3.3
150.3021;2.2
150.3181;29.8
150.3188;45.8
150.3195;51.6
150.3202;43.9
150.3208;25.1
150.3299;5
150.3306;7.5
150.3313;8.5
150.332;8.5
150.3327;7.5
150.3334;33.4
150.3341;38.4
150.3348;45.8
150.3355;44.8
150.3362;33.3
150.3933;18.4
150.394;26.5
150.3947;29.9
150.3954;28.3
150.3961;24.2
150.3982;24.3
150.3989;38.6
150.3996;46.2
150.4002;41.8
150.4009;25.4
150.5216;2.4
150.5223;3.2
150.523;3.3
150.5236;2.7
150.5243;2
150.5885;5.7
150.5892;10.2
150.5899;12.7
150.5906;10.9
150.5913;5
150.6423;36.5
150.643;47.9
150.6437;51.4
150.6444;48.4
150.6451;42.3
150.6542;11.2
150.6549;16.3
150.6556;18.8
150.6563;15.9
150.657;8.9
150.664;1.9
150.6647;2.7
150.6654;3
150.6661;2.6
150.6668;1.9
150.708;11.4
150.7087;18.4
150.7094;20.5
150.7101;16.3
150.7108;7.9
150.7318;11.3
150.7325;37.5
150.7332;50
150.7339;45.1
150.7345;28.6
150.7863;31.4
150.787;42.8
150.7877;47.8
150.7884;43
150.7891;30.8
150.9298;1.4
150.9305;2.6
150.9312;3
150.9319;2.6
150.9326;1.7
150.9676;6.4
150.9683;312.8
150.969;1419.3
150.9697;2993.3
150.9704;3946.1
150.9711;3515.6
150.9718;1994.4
150.9725;484.1
150.9732;73.7
150.9739;30.3
150.9746;21.2
151.0055;21.7
151.0062;124.8
151.0069;188.9
151.0076;177.7
151.0083;105.3
151.009;40
151.037;4.1
151.0377;81.7
151.0384;428.7
151.0391;860.2
151.0398;1097
151.0405;942.8
151.0412;496.6
151.0419;79
151.0426;4.4
151.0749;11.2
151.0756;22.8
151.0763;29.2
151.077;25.3
151.0777;13.9
151.0784;1.2
151.0882;1.6
151.0889;2.7
151.0896;3.4
151.0903;3.1
151.091;1.7
151.2307;8.6
151.2314;13.8
151.2321;14.6
151.2328;11.2
151.2335;5.8
151.2637;2.7
151.2644;6.1
151.2651;7.3
151.2659;5.6
151.2666;2.1
151.2785;7.7
151.2792;11.5
151.2799;13.1
151.2806;11.4
151.2813;7.2
151.3017;8
151.3024;10.1
151.3031;11.6
151.3038;10.8
151.3045;7.7
151.3115;30.4
151.3122;52.6
151.3129;59.2
151.3137;47.9
151.3144;31
151.3298;2
151.3305;2.7
151.3312;3.1
151.3319;2.9
151.3326;1.9
151.3432;45.3
151.3439;69.6
151.3446;71
151.3453;52.3
151.346;24.2
151.3847;1.1
151.3854;2.6
151.3861;3.3
151.3868;3
151.3875;1.9
151.3917;1.8
151.3924;3
151.3931;3.7
151.3938;3.7
151.3945;3.1
151.3952;2.1
151.4382;41.8
151.4389;71.9
151.4396;86.9
151.4403;72.3
151.441;42.2
151.4832;63.7
151.4839;91.4
151.4847;94.8
151.4854;73.1
151.4861;38.8
151.4931;36
151.4938;64.5
151.4945;82.3
151.4952;75.7
151.4959;45.8
151.5016;1.6
151.5023;5
151.503;6.3
151.5037;6.4
151.5044;4.7
151.5051;1.3
151.5107;2.1
151.5114;3
151.5121;3.6
151.5128;3.8
151.5135;3.2
151.5142;2
151.6715;52.6
151.6722;72.8
151.6729;77.9
151.6736;69.5
151.6743;54.4
151.6778;38.6
151.6785;47.8
151.6792;51.3
151.6799;49.9
151.6806;45.4
151.6813;34.9
151.7286;7.9
151.7293;15.8
151.73;19.7
151.7308;18.2
151.7315;12.1
151.7463;1.7
151.747;2.8
151.7477;3.4
151.7484;3.4
151.7491;2.7
151.7498;1.5
151.7844;30.3
151.7851;38.1
151.7858;42.2
151.7865;37.6
151.7873;26.7
151.8629;2.4
151.8636;3.3
151.8643;3.3
151.865;2.9
151.8657;2.5
151.9117;25.1
151.9124;38.4
151.9131;49.2
151.9138;51
151.9145;42.2
151.9152;26.7
151.9343;9.3
151.935;13.3
151.9357;14.8
151.9364;12.4
151.9371;7.1
151.9605;10.5
151.9612;19.1
151.9619;21.3
151.9626;17.9
151.9633;11.6
151.981;1.5
151.9817;2.5
151.9824;3
151.9831;2.6
151.9838;1.8
152.032;2.4
152.0327;10.2
152.0334;58.9
152.0341;174.1
152.0348;267
152.0355;270.1
152.0362;184.2
152.0369;76.8
152.0376;4.6
152.0412;6
152.0419;9.4
152.0426;11.7
152.0433;11.7
152.044;8.4
152.0695;14
152.0702;22.7
152.0709;26.8
152.0716;23.1
152.0723;13.1
152.0823;2.1
152.083;3
152.0837;3.4
152.0844;3
152.0851;2.1
152.1326;13.2
152.1333;18.9
152.134;21.6
152.1347;18
152.1354;8.3
152.1822;2.1
152.1829;3
152.1836;3.2
152.1843;2.7
152.185;1.5
152.212;66.5
152.2127;77
152.2134;81.7
152.2141;74.6
152.2148;49.1
152.2574;2.3
152.2581;3.1
152.2588;3.4
152.2595;2.7
152.2602;1.2
152.2624;2.1
152.2631;3.4
152.2638;3.8
152.2645;3.1
152.2652;1.7
152.3575;14
152.3582;21.9
152.3589;25.3
152.3596;22.5
152.3604;16.5
152.3923;1.6
152.393;2.5
152.3938;5.4
152.3945;5.4
152.3952;4.9
