"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"213.1/54","12335.2036794194","22747.8915613169","11430.8714083564","45011.3822395541","58431.1722479071","95408.5921457987","10186.2875983887","15610.5423643506","12201.0051366406","35310.415672678","68590.7215351565","42263.1172154099"
"213.1/40","27984.7115104221","647.384762920544","23542.5087818918","84128.4907268878","121613.385164477","263643.164954315","92006.6948074219","139101.353358722","110848.237777793","98534.4072423169","162493.944329571","94990.1192058355"
"215.1/65","41987.4673712494","39151.7738834839","7619.00010999944","71269.7696201869","45064.9946135532","29173.9998878539","25898.2327554484","32419.0404341767","3450.31503738118","35448.0076407617","57884.1196799576","8399.16387110762"
"217/47","14343.8132036133","55179.7709956421","9979.9529124028","4541.49502913095","2700.89881687456","2335.55356940487","45778.5281491252","4530.21902757604","29187.6587681112","69413.3668590328","133896.323129931","4756.15868904442"
"223.1/37","58445.7910144348","64668.2899863443","41867.7453322493","277837.862689427","285918.118705809","441926.203236245","260738.827159937","395153.99703361","73649.2660773054","144318.718998176","431202.314258739","126624.386599164"
"225.1/58","21436.2715054527","31449.3251679565","7958.85735282674","68235.057087976","13383.242578125","66686.0437260447","30068.3443486328","58994.8891877588","65547.5653174316","106434.480636515","58616.3113766648","11698.0427359566"
"227.1/38","151433.226554722","87328.167722168","23348.0736544255","343223.808937334","331084.566462845","137409.035550778","43829.4549511719","34845.3082629272","53190.27747227","180548.802282237","180264.276053335","79680.3314597934"
"231.1/33","23763.6424967734","16066.4229507341","2542.714412646","25576.6695495117","9188.91846253909","5673.20890070515","105219.708176953","155958.883122949","43951.7879129448","88544.7027076318","36845.2848021286","6004.92376677058"
"239/65","110087.574458545","37188.7600149214","696.105823316379","25245.7211797982","153270.362088507","147054.505714178","18696.295480957","122160.58570991","13085.8631811523","31089.2498447701","220092.884531906","10275.0914614326"
"241.1/38","257125.305405182","259290.174918119","50777.7478256444","658337.867700507","968629.465918887","263204.958984286","143053.399353113","168751.200499772","68706.5433554827","3685.16984521484","177597.506810199","135781.694980848"
"242.2/37","189405.369195178","268677.089556362","188938.944510575","820613.973001864","14601.0503921509","1090253.65404931","743021.050896533","1252191.46317295","198811.493440625","359215.282641601","920352.091775868","497841.34631609"
"243.1/37","13858.8425045801","73481.4663700984","11550.5067049254","117442.813254319","126177.261610896","44922.1046805382","80470.9375279175","30864.0111007874","27201.5697973144","394677.925151215","28354.7338538574","35466.1028837135"
"244.1/35","113966.001200145","134763.482375663","16344.6912684509","145998.848619436","80657.597865779","89267.8158812349","102971.607286377","35861.3775445769","95931.9451431275","284050.755896992","218348.000834074","88779.5196100438"
"245.1/62","7712.67654464721","103294.198558115","4320.69444639473","35775.9713072225","26663.8594166934","18811.1155294359","25327.4081279297","13681.1042489395","0","111467.066932983","73068.140966814","12454.241531054"
"253.1/34","863.189001786872","0","0","0","0","7149.08456140873","102970.613239701","0","15928.9373291016","22084.4441235624","3088.85191289482","0"
"253.1/20","2461.43812162627","6689.5228170972","1761.04301390382","10575.7356989081","38536.8820980328","20528.5010893469","6253.44678137207","22676.6181389873","131340.03492168","72496.0571847808","50650.2343829886","39427.9967774187"
"255.1/39","371900.036118616","54618.5421881976","25379.9494655225","111519.981410606","110236.882375753","172946.316651291","107515.490074878","124435.776158884","44475.8393193054","186972.901979644","158466.424681286","56668.5923230732"
"257.1/42","33413.9337566355","37502.4546062174","6392.34618177346","56668.5021659598","170524.091953542","9654.16641943359","7351.84460849609","34535.3644904492","9092.46688637137","114993.910532226","68323.7477987185","27464.8338800507"
"259.1/64","58612.5854562717","102233.047893604","6776.35712034651","73416.0235001628","43418.4514922276","28445.1529095415","31402.8449195069","21979.6396263186","0","41397.6389496075","41717.6885242793","2499.43526565842"
"261.1/30","98986.3206552204","221188.490853795","48183.9427291228","788499.237860281","583044.640888693","991951.382047137","254215.844206207","648019.176599287","136966.775960124","253551.116890723","764772.056905927","281905.256803644"
"263.1/33","63500.6994868655","99947.1331443435","24321.4818724915","345609.111708239","317177.866741168","385287.300914412","134589.092041553","331305.672868732","25523.0167045542","60518.7576380114","469609.533247396","88434.1224644901"
"265.1/30","221171.532836681","306493.986925223","1032249.47380201","34438.4020333008","1482675.93036057","4160685.7748373","479065.68034856","67697.253984375","2091854.50995599","2839774.85731836","12300698.802785","3253232.99077511"
"266.2/26","833.902845741017","0","602.694166664345","0","2399.88611528138","16231.8939781965","7574.7788006543","0","303627.724281299","26829.3420507163","8568.55747290328","9135.51925789565"
"267.1/30","6874.37013818115","1506.57305663242","29579.3566730465","64130.1236202845","17770.3951099989","95513.1765650814","32444.0595209961","349716.884518552","75563.1083531331","16021.5693808594","263766.998187006","67394.8730754336"
"268.8/52","0","0","0","596508.333375326","368827.948269034","2172.27291920728","441589.121850408","3469.33844880604","0","2944.98971050667","73323.9416944496","70198.0173922417"
"269.3/26","69901.1449286272","368047.649634487","151874.108739603","774836.702807063","533659.205857318","649797.108820211","60584.4182412815","33645.2965198893","329715.763756775","299702.765795884","1629907.05297819","502560.890009267"
"270.1/1","966.531630551355","0","0","0","1035.77460412091","0","82871.6828418823","37870.8659570435","0","0","0","0"
"272.8/52","0","0","0","57631.2546733155","79663.0572361007","1411.49792264455","77168.6478622821","4090.64357694145","8924.43905859375","0","11290.2425990809","10382.8002142857"
"277.2/33","61643.8989568921","52547.5609929548","29141.1728563003","114961.752271028","100789.616520792","164371.822749818","112746.190171252","846588.902895689","51601.9157717494","73452.4902641252","129833.323464227","77253.4772281471"
"279.2/16","53170.4508758559","0","487195.69958337","114384.655555003","103598.759383746","47912.7637871484","56842.8243944133","29665.6594165039","73200.2485436198","199948.1355513","168492.205719357","291225.967479637"
"281.2/72","18241.0996048553","20184.8228955325","10903.3279635338","29198.7250192037","36320.5364406807","51716.0501494887","30525.297991211","17019.1570128125","17503.7887996013","38573.7854610868","36010.0001563777","20568.8097292343"
"283.3/63","857009.741250001","321336.73893019","825023.412805518","749711.402913285","387879.937084377","510836.795836364","78794.3961365072","809461.466679115","79521.4889782841","79791.6659537864","1659706.60270214","397168.909896165"
"285.2/37","19384.8275667675","68335.9464419323","13111.1457755781","242663.193844865","168285.327344018","112277.685784746","13998.4375170899","328528.696550317","43659.3656631208","74724.6598208044","371348.681404448","95846.7391758878"
"286.8/52","0","0","0","44755.6419796509","54489.3741380344","0","78701.8684957032","0","16154.5827848307","0","0","11819.6923331112"
"289.1/67","8390.30092163085","0","0","43948.1060978202","13732.8965798132","24423.0663224235","13364.2932573242","17731.3929082031","0","19318.5617762432","88278.1926286221","5588.49291900638"
"291.2/37","13592.5316671973","25472.8813831968","39390.1553085968","140886.824188113","50509.8441034903","71789.4046253756","15144.7883982617","600953.387783003","5749.10144101919","57983.289680918","33115.6319226172","40352.9666504636"
"297.2/33","29103.9187243486","42660.0401391219","145001.134122527","65639.1518989115","48818.2340609726","94028.4891217938","33379.4086539701","110363.295258454","192953.714627441","79335.4457808076","196222.64655475","93454.8454731003"
"305/4","0","0","2045.1180649759","899.420030029563","0","0","10466.9400889868","28181.4061816406","0","1441.59175473661","0","0"
"307.2/37","46469.6178361666","51049.3116029489","12617.5984448242","82344.9386156665","95439.8435500748","105822.060771698","65987.6221187622","166543.500273274","65801.2059453125","69649.1991975546","113675.045067762","35565.9642068713"
"309.2/33","25782.1845370313","1275434.53038281","414385.975303799","2099491.26487336","1907804.70502901","2977591.96205002","1114708.21605078","1732511.78471922","1478798.19355469","920631.354031778","3290142.04928934","784307.958277537"
"310.2/30","176901.34961068","253471.847159467","60202.5468458897","316862.976594607","221906.641066048","403123.491882226","186378.791127398","228252.64102007","251677.251497803","136786.055136551","303387.376406387","91062.6778917754"
"311.2/35","5655.15802404378","292697.629154248","515971.176590981","9165689.20766661","2837645.72574306","3842672.95284092","1237278.91100918","21222.5902587891","767103.689333203","494023.670888672","4357006.05424696","1230055.45193145"
"312.2/28","99293.0195825897","149833.335943697","92110.8050817635","19077.6335255859","495135.039047222","729234.829433105","71954.2629405287","1808127.3361147","149764.402516146","206450.383271695","706081.010169789","331827.70264576"
"313.2/30","135758.747324923","395692.453675947","137833.004458004","499556.638895389","405177.959981434","488177.32506826","257231.429923497","752157.789446175","61112.5504182547","432666.658709326","1159295.699919","274206.753306093"
"313.3/33","51227.8293700949","341905.797196768","113998.803093137","494466.378279392","331173.819513193","289678.428969048","449705.969052319","568595.214611739","77656.1096954677","130969.968073279","962630.999659201","166737.061430953"
"315.1/30","236399.578131063","246029.876300358","41572.9816783424","517392.992819438","275070.347920409","303345.461472832","73511.8716685221","19495.928248291","349097.742750244","1339975.79835066","576122.551922073","344555.519642073"
"323.1/24","12481.6207867432","0","116305.252506649","15747.3309433594","65077.0355868886","194152.842916522","82335.6056167542","166901.821163082","245704.031364124","35987.6435573474","78162.7134254157","59496.9588349223"
"325.2/28","456269.481398076","432796.091757813","636253.54388275","25123.1425639844","3632501.73962116","5016336.52578566","52248.0192527086","10972651.3233809","48097.9568904785","1714241.43277027","4608489.2493923","2316106.26886483"
"326.2/21","95985.8947017793","0","146685.287480816","3090892.32429486","1119646.45811465","1338438.47695648","25821.7305715942","2473641.21147413","65537.2280880108","224048.929920936","1350405.93544584","666655.626558319"
"326.8/55","0","0","0","76876.3022196778","109773.31284668","0","140298.928838389","0","16455.4353678385","0","10782.1236971275","6959.81869995892"
"327.2/13","39451.0548410347","0","38158.4571619048","577663.375788182","12331.3060744629","256968.344136051","10042.8990380859","360084.595993163","176502.667390918","89552.7127252771","288587.819572022","213040.252940144"
"328.8/77","0","0","0","61204.3808069093","77011.7022140416","0","181855.754412347","0","0","0","30331.7024657607","8459.2861754406"
"329.2/27","88432.7914982215","4399.3339979358","23683.5894842251","327409.120779694","177176.216993626","225266.08640627","86056.7615250109","243982.243643611","155911.88868976","136544.027675404","345621.403317818","127669.128974367"
"333.1/38","8384.24314306641","113732.36279973","160405.814918306","56540.7269368908","87909.6778334286","83149.1940057091","113592.365525757","117712.008719236","141046.082883301","913510.902167968","574007.537429559","540436.184620026"
"334.3/28","140184.532673065","37176.3512855467","45685.5269426685","72601.6270632884","49137.8135387277","49429.8239000249","101735.598322933","77564.2083254084","155292.831658426","270888.232642822","555999.902853638","208908.1824338"
"336.2/37","48927.1591699625","48464.4092377396","54321.6724566047","47947.0967343467","39590.8219434036","20923.4509983156","60882.6163130703","56090.3056901395","22547.4432663086","122929.432390789","486032.903370584","18225.9561391748"
"339.2/35","364624.895024121","277270.042233236","285317.275111816","8090517.11510743","2334538.12461048","10954.2809196777","1095188.61367412","21518.5353575781","714254.499364746","1250093.98584553","2848622.45008527","87295.977740918"
"341/106","11778.8454174805","3037.64384487954","6717.29493027941","20085.8225947653","1717.09081893647","10419.4547885675","3284.54366473938","27672.2100977236","3842.31579956055","2648.98450426377","26299.388446752","9740.10265849158"
"341.3/30","301563.303223518","1314778.60724109","413144.15785002","34500.2577319336","1106059.62804662","1412756.64077512","691306.353672206","17944.8613835449","87523.3619894409","1107375.21614551","3350519.69814426","652810.258744678"
"343.2/69","17920.0513696289","151717.788309152","103605.393229799","53231.7522739955","44260.6277696917","84412.3551555151","10883.208766746","50114.5063765707","0","40430.427276001","192470.087255021","27525.7561796875"
"344.2/37","6730.82485396601","3249.05812907964","94331.7763253566","12610.3529746618","45863.3215805069","64351.4867915921","91209.3262519775","102219.010772881","13428.7927675781","0","310398.760823794","117243.655310094"
"345.1/34","6025.09659082031","563473.309722431","50946.4161731629","541039.62757144","369094.530765438","426643.64080068","441378.388655896","475390.127192702","480804.26715332","269433.965088516","609941.184879184","183770.639117724"
"346.2/29","67657.3974486779","99688.8007324162","13789.2497712505","128798.840505797","57944.3994998932","107945.509495746","47763.6704528253","109073.534114957","87097.7221440972","35007.0557184086","158282.835186662","47139.3680548668"
"347.2/25","80564.1353149444","181128.008750727","26182.4353518164","250323.705155134","135369.454579641","207491.708220778","144463.671270999","164039.640578174","150257.78788147","124628.857374216","247254.520032569","76553.9128816915"
"348.2/78","14782.2261596426","0","0","10435.4791577148","11668.347850586","3633.35743113421","0","0","0","0","0","2028.24092315719"
"349.2/30","46331.2502030991","75379.8653515625","18570.8999267578","336216.890559221","102240.357215154","765149.031844667","106988.735166016","896667.556732913","231160.491795986","217860.852026367","148250.54188687","23781.4199648"
"351.2/49","14951.4035574777","26820.8512572477","34731.9196484685","56880.7666664551","5611.85215993579","36862.0355835732","5064.64005684465","17085.3433374024","4741.04774098389","202544.284597412","53378.37735557","8883.77698293386"
"356.1/41","4109.80758104433","12017.080385251","0","0","5867.34869821146","4210.24819304142","11494.0865927734","3870.39854300441","757.253214297816","752535.514609375","87124.2794778546","156633.145670752"
"361.2/26","657004.610202536","167981.511258621","1324968.69826401","21975.3164805908","1748520.16972411","3006839.60595215","1110953.70068645","2662691.03937161","1068213.95061865","343673.540319084","3810691.90079699","614610.378530764"
"362.2/31","70631.2077775178","53780.3746090773","173867.202230037","249157.020802326","270139.686910072","530170.236411782","206873.654922903","564086.531056536","87213.6116909397","41105.5108511919","539480.429412798","86269.6108074183"
"362.3/37","905342.917057481","173042.446338867","178817.307178197","256806.577390149","143992.831961121","120391.986045557","321650.515317847","195236.154714652","307765.049588623","635451.02559082","2098868.85164109","730641.063628845"
"363.3/42","16307.6246536691","16371.6176018743","16224.6848306507","37126.1489422368","25357.2160690778","37374.0342011352","9459.16130200195","26238.1983842774","68437.1907019043","3857.63681646669","56772.6387513008","7376.91961212158"
"365.2/21","5731.86549700733","0","457.503161979304","10152.6296168016","7281.52004147824","13995.7952709961","10232.6763434088","15970.9656292771","95943.6144667341","10678.683115315","6616.52600509606","0"
"367.2/18","8045.4762582564","554.198436083447","644.488122360577","98004.7014391827","61906.2941204309","98886.788965455","7826.8891078125","52839.4072535051","132820.204754232","16562.1737726508","6599.24919197336","10402.8144186306"
"369.1/56","13118.8999815372","29372.3072308748","0","189467.875975477","141503.944462292","147612.011671123","34687.6394580078","152830.82931808","17919.3203148242","11236.0565743904","22746.9214577569","14680.8962594367"
"369.3/37","25408.5969113522","58014.5261246419","64923.5326482262","265918.244691125","232173.617480708","229755.344570884","214478.243263953","423786.650709495","52785.9349815124","95399.0240998343","479947.716503347","121477.12081587"
"375.2/34","599477.660981186","718330.26335625","1411577.59212673","4109139.386932","1524970.28955849","11889.9509421387","2841652.47505606","4201371.65024979","1007156.26962095","1862108.78478437","6658614.5958631","983063.482186887"
"376.2/30","76927.0267519644","67442.6918968409","151647.214973089","72455.649876409","262540.237961553","361737.405931759","183869.769136788","694226.206234425","214950.245136719","735454.027237261","847595.028377501","217847.77857405"
"377.2/29","1171952.89933053","3666087.75010608","1915306.59712595","88125.3799365234","2470953.52370292","3178587.63056008","5186428.22387695","123795.695578125","922471.235846875","3370218.44469062","10633376.6094904","2079360.49368651"
"378.2/29","125656.147167886","31318.023600392","257294.007743787","17126.0525427246","433840.995767311","654654.923935706","348423.371739054","1140742.84370585","357203.032766392","1283755.14046102","1698649.28889997","423654.016218546"
"389.3/29","1267115.92842002","92743.5850685154","2437326.10139851","36026.2087792969","4046033.1586905","16144.0202443897","3060006.75318273","7366138.10729694","2639203.7658179","723786.557900171","8946534.15924641","1360816.24895847"
"390.3/34","84572.035029126","248793.243517106","417957.600435466","1045767.19867543","746899.26597533","1197253.87481001","640387.3278125","1591038.37041125","295596.153389885","56957.6297370538","1031222.13818335","210419.75260458"
"391.2/34","92692.6088656746","311601.277833181","105361.02169351","416677.317255918","143036.144520777","197263.342485385","457948.920141943","475921.643830165","208528.749748535","604199.767334063","613637.977766448","158980.338569945"
"393.3/30","5128.02179649536","9968.23484217841","74809.0861726083","192465.949149955","98414.9724342699","108454.413265969","103498.733662805","198799.937856685","148126.736147461","515773.559708075","462570.786300994","7079.59684155274"
"403.3/30","12076.9265625","5935785.41488437","1742169.61022662","7045573.69215369","2863119.37879963","19167.7248260156","1958760.59148158","6691872.5850035","2685840.84080078","9167135.24646094","9980731.10046186","2141811.86396402"
"404.3/39","296251.725841588","1188107.57547214","590096.191859785","1882208.36563781","470087.547345092","550284.432975216","1227032.1561876","1373935.84881575","594812.154853516","978683.91204375","3009504.39691952","345547.80552615"
"405.3/31","2043302.97791902","10315347.0607278","3065359.32391484","181811.821289062","4972249.22084995","18112.9847192969","14858.8455689746","10406100.760386","5516133.53423828","17661674.5268062","17620310.655653","163575.525869219"
"406.3/35","790953.572772503","2359026.93382847","792507.029544959","23635.6835474218","20868.9166748047","1264677.51703644","2583043.22843789","3232776.37911049","1209970.82126953","3938151.74879514","5227809.35903778","796259.195924342"
"407.2/58","60371.62640169","103029.638431222","18810.078478151","44708.2007917433","14244.6552880547","58074.3198389672","19402.4825957641","46893.4683634018","237537.36263855","90130.3262559399","50356.195449797","10383.8180152996"
"419.2/35","318483.851617225","856826.932567405","299387.232512973","1030900.48600659","359751.064695652","457690.420721531","906851.845164306","1068020.6059711","524827.554614258","2597851.34020693","1510615.69611472","366406.990420792"
"420.3/39","55569.378626809","176189.008610802","115132.155808431","271017.544167575","95296.145234575","104328.78618808","203472.838844897","55238.3442621094","107466.445276489","337670.665701953","449878.776546221","71157.3006823668"
"421.2/43","61785.1059375001","31662.7107265951","36661.6009686431","92969.337498002","152458.87450085","176573.300448113","98575.2612394043","327354.328799725","87989.6106278185","135928.607284567","131511.094660348","68742.2031457465"
"433.2/41","87396.0833622938","86440.111848622","59122.6269469815","114641.217165867","71130.7669593883","97547.5076335072","122329.16376123","179423.434617564","61738.4007058855","372783.717861944","229353.378695277","78811.07890359"
"433.3/28","35992.793855228","0","104021.161490071","354827.335450396","189840.121282507","230427.325095769","76539.5653847443","320857.826344304","158480.928526849","152100.38296381","517628.551784752","161841.625536227"
"435.2/50","108452.176549479","67852.5433408463","13881.746723894","89701.8309662946","48573.0557510555","36351.8120637188","64210.9695103674","64313.4392998815","986.474878661858","306578.432642165","100237.277415939","14974.8655130458"
"443.2/39","50888.2281262207","106742.45611253","3177.90387912339","0","0","4902.76254864617","0","5541.40873290058","636.114436083008","715329.239589843","114425.392007587","0"
"449.2/44","326423.10625","65136.2628464722","103702.874812242","22411.8455472924","47328.9340318367","47036.7598035201","108065.708531494","51653.2785954747","76497.5046695186","108542.968291214","391296.819676161","200848.134830388"
"489.3/83","6148.06590429688","0","7964.88573287552","34025.591217871","0","9990.46493701171","0","17248.1000124812","0","0","7501.74440048262","227112.426296642"
"533.4/29","70059.7156011116","86967.0843897095","47829.4592648664","228097.060839494","145813.195765923","205713.218526024","102602.542848804","204293.749453378","112494.592143555","126866.604211359","278801.092924418","80016.5719006131"
"561.5/26","105152.087844113","408258.262460878","73255.4037584692","371520.371496376","235098.655151473","299887.14356483","408717.946337891","332478.871961541","193987.51926642","267341.414851382","475367.595793808","138952.851861266"
"562.5/30","73355.8323558534","79300.7342096819","39439.7747078582","222004.399391357","151334.809491403","167204.439451413","76878.9551694797","187393.363538614","83371.7382029608","121082.726235541","284577.18980324","72350.2423374597"
"597.4/25","36824.7715268394","0","16389.6303407683","237737.134007194","108809.358470374","73526.6644267372","89472.27052508","95615.6957610123","137087.225276235","127787.51231803","215089.373093848","91003.6167135168"
"671.3/34","57382.122347242","40852.9681490417","105759.847062796","263050.643942164","668306.756815284","576635.183276182","296613.540749707","734137.035863288","157192.468733854","284033.268050749","465217.979358751","347462.931671063"
"693.5/29","62379.1997987366","0","1499.57505407277","0","0","0","78260.5973577149","0","414118.097941276","3521.79041579925","20457.7146184863","5722.75423614588"
"694.5/38","93885.2973106904","291539.651364272","75958.3543309594","456137.178224221","265232.92871058","153649.216413476","364289.491226367","504770.251818337","141840.587499316","100980.455792989","522268.174579483","85212.4182714319"
"695.5/26","57431.2701437837","0","31308.1139457993","183647.434879627","118216.084433916","87373.5424641822","150875.749778776","157311.887193333","91987.3552963672","66350.737309808","286304.2502075","51240.8203658085"
"696.5/23","40248.9044418212","33367.943827975","21887.2098657553","146441.834877246","87004.1614352745","52110.0459575943","172377.392294311","162020.141564762","38568.3489830176","37636.6558751845","235229.555466468","19219.9303434709"
"721.5/29","1592061.93378251","3395043.73779894","1174404.40469563","7781905.38684583","4615134.76483617","3072113.82988259","7409950.50997266","8262676.4682178","1687894.59851813","1966365.84656865","9513620.64791165","1494281.91272759"
"722.5/32","622417.028490573","1510773.6606659","355028.870770528","2372731.44516843","1432958.10901165","1089887.956999","1197756.02165037","2756754.92805186","1442308.21746416","758798.561332228","2802761.12795353","387433.72304543"
"723.5/32","246775.970200676","1140209.12727058","133634.394564226","897706.569622584","551487.69804809","478110.718043997","892343.136636111","1076596.04208997","548460.899627813","411470.911271081","1144418.09571779","169315.8406272"
"724.5/30","223635.132339909","516443.453876203","172056.522247139","1087258.96237176","644174.303001885","444199.302637741","1067941.20162418","1163529.47614195","509076.663927922","254555.908478703","1258291.39389836","202884.413965326"
"749.6/35","1338575.6931549","3846238.35954515","867917.08815714","6684264.85806482","4287213.43076427","2333124.91239629","8622592.17152344","7653519.45339158","2049772.95535714","629214.963938287","8305513.95841701","1359220.98610061"
"750.6/32","526538.826056823","1743517.94192467","287025.979331275","1854884.34780873","1202416.95562412","1015355.5893931","1501678.97448025","2534319.1016833","942638.541964286","623236.21568892","2222870.42881554","340929.712115927"
"751.5/34","553073.581784165","1281187.85919728","334385.845777374","2785982.53683746","1600744.81497308","1092360.14383431","2748928.72324219","2819334.98646496","1727001.74453397","134212.754659424","3076915.2534581","471158.503975347"
"752.6/34","325622.865095915","591012.746684173","220301.659627184","1479827.57542118","894711.072233673","664078.240511031","514141.120548329","1538140.39468328","885786.916242676","257454.155938436","1898879.79880302","289607.745784608"
"753.6/29","41749.123995936","0","17245.6791085016","164194.77365321","100028.166890119","69901.6092614142","91306.5176656331","180672.67465132","113886.121601626","12599.2177380384","216736.361978668","27777.3713154333"
