"","BurAD24_1","BurAD24_2","BurAD24_3","ColTer10_1","ColTer10_2","ColTer10_3","ColTer282_1","ColTer282_2","ColTer282_3","ColTer291_1","ColTer291_2","ColTer291_3","ColTer331_1","ColTer331_2","ColTer331_3","ColTer6_1","ColTer6_2","ColTer6_3","ColTer91_1","ColTer91_2","ColTer91_3","DyAD56_1","DyAD56_2","DyAD56_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3","TSB-agar_1","TSB-agar_2","TSB-agar_3"
"group","BurAD24","BurAD24","BurAD24","ColTer10","ColTer10","ColTer10","ColTer282","ColTer282","ColTer282","ColTer291","ColTer291","ColTer291","ColTer331","ColTer331","ColTer331","ColTer6","ColTer6","ColTer6","ColTer91","ColTer91","ColTer91","DyAD56","DyAD56","DyAD56","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI","TSB","TSB","TSB"
"287.1/1","38074.4827827264","173742.012810634","1010123.15030566","98208.9181406603","233626.340570666","257289.550450703","79797.7822616145","67687.2767628917","32723.3110765625","65945.4246386719","409032.211448529","10505.9017322641","106066.932182931","4749175.65599936","1186149.84582387","48072.17338832","282422.018390034","63219.0728179184","388113.140033067","824846.381461745","111187.169704158","23391.1508263889","18989.0295304199","25114.0220367499","119963.582236769","338243.723775993","184171.612793408","361469.844749693","438282.978487359","12550.1328773685","43653.9207438715","11178.9320844232","185799.718886837","173937.058968123","52446.0594094724","390715.433239603","73955.3090255346","195126.589736313","725402.556061151"
"289.3/41","64578.8446875","1273076.20446473","39928.9681372768","265877.00638281","1085083.0184642","2446602.95851861","507469.26667162","837753.907335693","548924.913277757","831358.72930219","1974993.52356499","758829.742945127","251770.478647828","2169420.06004254","2171.42206171062","265425.813662052","830594.288667162","107737.622173364","1836386.97180319","2325918.49080583","82618.3838637488","11545.9808236889","203306.074714118","732151.752267741","511505.155420984","911932.139673176","240750.738744011","0","33981.6319246327","935897.063551347","539797.229714066","73943.5320815747","857067.207040753","564200.726884766","487930.829180642","162190.429099019","521361.352227793","426473.891552426","1753860.1636939"
"291.3/59","37894.3948835839","404990.111409426","35948.5750252855","114484.378401625","431345.509881645","182624.323250156","175749.28971875","187459.585575625","322950.940965112","38450.0582047552","295424.799912173","192339.490553461","87390.6303080082","484866.930024332","81470.0115858223","69382.4118535936","271708.204837015","67106.7156740241","20009.9894408584","379253.265205097","102513.946333215","19172.2585947774","20636.0224888574","209238.602631348","105428.600857422","485509.787709689","227094.156874296","4380.21531291604","88308.9141124487","383379.597928762","273748.01398173","66888.8288225392","178434.585802812","84839.6145778522","150976.80521875","10445.2282817383","229059.489000034","214426.948690471","161451.843514688"
"293.2/62","13027.2846283573","101533.512327433","124620.31756862","39844.7798056835","156500.082716346","194752.991685669","106611.833218876","126727.85005033","95121.7535792828","119843.329986513","115946.450928873","79697.5431915626","19223.011803668","208901.850767994","45210.9309835806","38894.960970073","23419.8425407031","4704.17224972777","66550.6734032705","178214.628765312","8409.05108308792","17543.3324167968","46345.2701046579","110221.317703962","97103.7371175782","74175.354776746","20776.5579744615","44377.8540381975","8997.0727078151","60760.9691043377","134242.352747344","4985.74059618637","20070.8287042469","37847.0014314011","13280.9317610599","42530.1354495138","50047.3309797615","140333.160492629","145766.76766935"
"294.2/77","2946.27441496369","90336.2075674964","173405.528652343","83803.2458413839","67343.6711968482","63601.6121517159","48267.0609306805","111706.424670903","52370.3061332256","16805.2739728801","67730.1348546222","112250.053983927","17584.3183697586","148153.69355613","8810.08952307821","17505.097192843","85592.6464532398","16634.3883815631","23724.7804768011","178681.592286425","29055.2637056932","6039.16436069457","20029.0420630202","81109.8480852343","51302.8158751953","111089.899528397","1255.86692459053","21460.1546340372","0","26192.6357176006","0","20834.6400033224","55272.8898940169","47188.5052386441","55344.3287801194","0","0","134194.488606003","126779.441674437"
"299/70","132521.168469509","243878.428980648","340514.352335221","291062.644688594","304596.16525","1281980.05759697","2341926.12262976","1888951.49569829","985503.455020309","626556.00233625","3304860.32369633","870205.183975498","487089.001743862","586820.717114258","96576.9446729295","71388.464046797","159315.676467578","317475.885004453","81509.6018926832","1142956.11445373","566403.433936559","68146.8762948047","867460.99508125","128952.404854524","111926.391595484","77652.3662839472","395310.091717804","181946.098533198","76362.8595321989","408583.963861741","795013.799054531","483945.129379686","346881.637265625","664394.744370912","642578.297859377","128785.695836328","158435.863717506","512114.100957031","4486208.21266651"
"300.3/49","183980.378655989","4615285.7445035","10895719.5937374","911047.895663738","1314582.43246609","4037712.08825531","5119505.9453001","1400261.01045072","195385.439748935","977580.071475834","6827486.48527365","1627531.40924191","583246.426532841","7684373.35184975","50221.153369654","333621.688875228","6295309.00515604","5638.42092041016","3958455.8434082","6854828.77268238","451097.825817168","7216.94353271483","1074202.47551434","3534407.04319239","90860.8180053132","2531071.83271565","2767046.94387436","0","81652.5553042926","3236687.49846048","1549019.10124662","10851.425339034","5759608.25052232","59070.760381939","31478.5928046875","113519.783828739","187745.762565756","963146.84134382","122171.28483724"
"301.2/33","7912.25287603241","0","60833.4426934814","84112.5456511004","0","20524.2675761064","1874.33356678026","0","163812.955776656","6795.65313198471","0","0","9719.69288481552","0","101914.312663393","35958.257471323","0","58978.8348958334","0","0","13262.6544771197","20195.6014624651","24595.1366093473","11934.806070853","116578.298302187","14663.2938945368","0","169955.62982944","4619.65553179502","0","0","19858.2395901883","0","453338.606827958","50919.5584294985","30787.2059501953","54377.4300380945","30224.5168129153","19244.960714981"
"305.2/26","63158.5430942774","49820.8725625","109378.311854559","36155.6566707906","358193.476628393","471662.894761884","191582.850784833","388597.21871627","221851.554954834","518033.568203578","250138.588693991","130316.293116037","107107.783191036","249430.893538296","5689292.36561319","9305.87847590571","101148.963218359","8962.18081789062","758328.707391806","124040.112852089","1191518.4323127","629419.724979102","28910.0250847462","508631.389041684","839523.91870236","382575.026031733","512873.93189311","2744255.91397059","351991.36479805","741875.018633581","193998.00282203","16514.995633138","456803.284075368","32488.6927047923","46795.1452857298","207969.877206204","200964.55500578","256340.461388503","445351.822396925"
"306.2/45","5124.20416104794","0","772360.697737099","0","0","0","35866.4826658233","0","0","15735.1270939127","0","2536.33088229901","2296.10059104301","0","27372.5978333044","0","0","3184.19579274873","17520.6147870692","4037.58428410366","0","2999.51291963745","821.727535053156","16743.6888650981","0","122697.368269629","102629.620069922","38029.2396715641","14797.513846437","0","0","7431.90770599975","29307.7043318401","3393.82180299432","0","0","0","0","0"
"307.2/64","11231.6183488021","46872.6145311117","11311.3771907355","42551.4014358229","20736.9043163404","21745.16655227","24410.1553112239","15403.4388364156","144955.304933806","9423.69007984623","0","0","3370.52119266381","14262.4280781382","76282.872197172","21793.679350377","3832.74602030218","12624.4530750923","13570.0148938708","35110.386911913","12358.7851617649","6940.68447984269","21993.0835101025","7979.5828907039","78663.3097506523","22332.7754525945","23935.143406558","74127.0209706035","4840.17886919777","0","26706.9768673182","11725.3559913167","35997.5308921602","20597.4298678167","22399.7043641362","76791.7685932759","32384.02782337","85666.6425227478","0"
"309.2/45","22971.4335338542","105093.515244232","26017.2284830729","599765.293726428","1382530.29335918","173202.998721952","23007.2892736318","65275.6969643549","147503.205450545","164519.29043301","15263.7854278932","5655.54408597155","97412.7126186139","71923.9189866492","7558896.16471592","332083.829358519","636300.044016466","7750.06886305421","1336262.00803104","56100.2313618118","6760577.91783281","236477.567890078","3003.73821972656","106189.910550565","214283.770631697","2463296.37144181","156123.398327586","696550.649112877","851016.69390479","164237.778433599","32667.592510324","9939.18222917073","183535.283339844","3275027.46219847","0","5406941.17105078","488907.413774622","276141.33490473","97681.0629556563"
"311.2/116","1000.35033583269","910971.392162383","7489.213902929","0","861431.971000463","671155.606912136","872786.90515691","125159.169581098","2306.74280258291","500520.071933397","673130.996164375","217320.431729929","77732.5585296303","465297.376310719","19377.4562314823","18658.9791018676","160169.605187505","12606.3373303146","591058.771884829","1180037.98781988","7415.49567618635","5683.08482958329","3363.44649013675","480304.253681617","0","903656.035493426","210550.99505088","0","26064.4926824397","687942.649549246","530066.198875219","0","46688.8800984919","5451.92050505988","7555.55392194986","0","66989.292527344","1000702.86526031","1026696.01966205"
