"","BurAD24_1","BurAD24_2","BurAD24_3","ColTer10_1","ColTer10_2","ColTer10_3","ColTer282_1","ColTer282_2","ColTer282_3","ColTer291_1","ColTer291_2","ColTer291_3","ColTer331_1","ColTer331_2","ColTer331_3","ColTer6_1","ColTer6_2","ColTer6_3","ColTer91_1","ColTer91_2","ColTer91_3","DyAD56_1","DyAD56_2","DyAD56_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3","TSB-agar_1","TSB-agar_2","TSB-agar_3"
"group","BurAD24","BurAD24","BurAD24","ColTer10","ColTer10","ColTer10","ColTer282","ColTer282","ColTer282","ColTer291","ColTer291","ColTer291","ColTer331","ColTer331","ColTer331","ColTer6","ColTer6","ColTer6","ColTer91","ColTer91","ColTer91","DyAD56","DyAD56","DyAD56","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI","TSB","TSB","TSB"
"327.2/27","20241.8978842334","65604.9703816066","67968.9315776126","233085.898817781","251649.47061667","0","184888.090386458","55403.6101461691","45291.8722057163","28037.861399943","19820.6824554443","0","73208.352705716","0","45468.4643905626","176593.99232924","74868.0277620117","220807.04232846","3294.8416293324","4146.07173708118","4087.77513647461","38445.9311132812","66886.6941424354","55598.3915678344","556795.334060443","12331.3060744629","316073.626948563","10042.8990380859","530431.134165891","165900.976326716","14075.5007841797","13659.7578344678","250195.193399949","111034.774804508","379527.193869323","160123.769473467","0","104991.300134709","295781.744116125"
"328.8/77","5860.97210411435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","777.060198796389","0","15311.1224686615","61204.3808069093","77011.7022140416","0","181855.754412347","0","0","128636.711258722","4382.91142091807","30570.3988871806","0","30331.7024657607","8459.2861754406","0","0","0"
"329.2/42","281008.888264653","169327.998174015","110079.455935737","185486.767076609","111576.068835414","0","64750.3796394516","29226.8771144226","0","0","53030.7780929916","0","109711.868999869","98787.3278422281","19858.1492718311","82127.2776026033","74948.9894902344","87514.0865388205","0","0","25298.7130397461","71703.2787561035","6018.79293318745","34586.2993090576","244260.072295189","167485.925299704","182340.751019794","158083.269016553","195916.86529312","155911.88868976","282345.815688908","300509.049714245","337593.103506314","148960.312863823","338893.3793321","79702.1544253826","0","73802.6833692275","353619.78136904"
"331.1/14","73777.5541973726","48727.4710037092","32017.0355260307","42842.3244130826","47384.51200183","0","14484.1922459204","0","0","0","15003.8048265736","0","35878.0001751561","34666.6084332975","3233.95482768834","31548.2220743164","25902.4457949219","20140.6563985879","0","0","19832.0209008346","11592.2462742717","0","11675.8615058418","87003.1895120123","46655.3797811852","55092.8366628061","30838.845583728","53092.5172754817","20395.6686779785","93209.4584424049","86327.3111505227","109583.011838509","34644.1785773431","111319.755555553","22819.2069139187","0","30500.7620711084","112790.816667847"
"333.1/41","65145.3548252285","88014.8497667443","78963.2939990234","1606256.80463526","13889.5147412109","695.568305521272","97892.6030202009","0","0","11562.0072957642","366344.304805121","0","8384.24314306641","113732.36279973","126214.640629832","335345.871473244","73385.9808178711","134926.231201569","0","1552.02077712727","230207.154325562","7882.80963062425","3397.2883339799","17402.1687134583","45039.3684394989","62146.4977489144","57272.3175252362","113592.365525757","91189.9387544519","141046.082883301","85541.566992574","87155.4144880452","76806.6387330592","913510.902167968","427197.071375166","411641.898129309","0","151911.835992935","1999813.01476991"
"334.3/40","107464.291627117","59862.1923608705","29121.2224612478","488935.087703452","324994.294236917","0","215623.187761382","71004.9995341301","0","0","324326.918643316","0","244641.741156042","37176.3512855467","43240.7839244157","47896.5692856212","101001.041223633","30381.7832282244","0","807.94596708531","321546.209986267","2178.38231516734","1192.64612387749","23565.5569481873","67273.7438836042","49503.1906606654","47186.0153765045","172305.629508655","67415.5219225213","155292.831658426","79649.1094121672","66548.7454805374","102161.87967892","183782.733538477","678836.222774565","232121.800437905","0","147830.909481056","1207328.09577942"
"335.1/57","6519.66939087212","5968.57044931641","10628.634971207","625662.984532532","10929.7217730933","0","5203.61335423279","90537.3805696615","0","0","44680.7485904948","0","76842.4016629674","22643.1145892204","41379.9845279399","98104.1079040039","3268.44715773524","42152.4673363882","0","0","60866.5304033661","6563.68289685864","597.723770069028","6876.33435839554","2459.14697962668","14254.7575863386","16741.1196722757","5973.67755602051","18100.5386671741","12529.1111559781","24475.7455300521","27038.6934785669","18270.8288501513","287364.258708855","165467.204546019","151082.705000967","0","176472.576034863","784755.882698397"
"336.2/43","70948.0981914273","39428.7457834747","17130.2006846763","320904.934490571","255225.972888791","0","92623.8213828613","1924.37841346309","0","0","194332.400166535","0","48927.1591699625","53694.8069565578","54709.0895855759","88433.5934936523","32888.0445356445","25339.6392878301","0","0","85114.9892777253","0","0","7507.75164171886","35971.6389651857","30796.5653629953","21628.1341121149","60882.6163130703","46697.7861450221","22547.4432663086","41628.8122143262","21482.8054878764","59480.0506323949","108222.139904022","413580.322622487","18225.9561391748","0","64423.8463803874","837097.462124142"
"337.2/43","224115.189357739","72906.3493225581","62831.185444336","590749.117590465","1429410.53608477","0","1266805.39209798","8929.54140220276","85128.5812315979","0","12192.7526688639","0","72292.8435880653","145547.354065857","320632.8186011","250366.961374681","21793.0922257996","245957.562236654","0","0","38380.4331294746","125398.624863281","250268.300443672","55002.363130444","153581.337551711","119241.441839115","10877.8893066406","135760.281168564","436407.280557937","41650.9197171098","128014.197879375","354267.929085033","174561.502635856","368167.152458152","1561611.92127455","381405.184671094","0","92352.9011140917","449834.846887209"
"339.2/36","21998.3665917969","591709.090100462","483154.936940967","11446.2945263672","5908368.48052608","0","2449769.58712212","166055.074575327","251058.857014772","29312.549571228","781940.408740516","0","513064.00588127","277270.042233236","542126.730881497","20032.6939796875","815409.010826294","4201520.09473303","0","2024.44183806237","14337.2554471179","642089.633212093","653202.174223777","312445.887673145","10610452.9667292","2814332.56608673","10954.2809196777","1095188.61367412","21518.5353575781","714254.499364746","1280530.5059604","1186700.38268357","1930323.43521916","627648.765901562","3955328.55919441","87295.977740918","6865058.4","26836.4919223242","2743611.58258216"
