"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"663.5/5","73675410.3798164","78898600.7884432","57048218.8695963","33916717.8199023","49289638.7301053","50474081.5445646","97714796.5228617","51674043.6592837","61561710.2041088","49057041.6823635","24973595.8497266","68728465.6581545","15156050.2713054","36156603.7865423","32633927.4316761"
"664.5/5","32849173.7536638","36649751.5790078","25003481.4549507","43309084.1095283","22985193.1735099","23890972.8758377","36315653.8036038","23005757.6118916","27794787.1752638","22492953.5034233","11870135.2714404","34347754.056049","6617371.01037817","16244701.2268308","12716703.986733"
"665.5/5","7371964.1376148","7761115.18288508","5551916.07763572","3316460.85711946","4768582.79894056","4996856.06886401","17796935.4232886","5014580.23586451","5965592.31348697","4770539.52061728","2454339.67100513","6604278.11030715","1499518.22743806","3538399.37370745","2632526.44817059"
"685.4/21","17351966.2944858","40626192.6223106","11123776.3598255","30567746.1466727","241364.642999153","20629166.2846718","41076562.2835884","25425.4265","165281.197198203","37669640.3959849","22458778.6401875","47913801.8869045","1253250.01585421","34740144.5887487","15907424.5227114"
"687.6/20","17202688.2543647","8946481.12899606","8388032.86625471","6785873.34942656","9304479.28993474","9227083.86497155","13994923.4621875","9954313.06039542","15353843.2187637","8866115.08996993","3051728.00450099","10892768.1308103","5521382.86114738","3548127.490375","2849547.82183949"
"697.5/81","41262.0664854348","0","2040511.33876604","1819004.48219607","284916.992293743","219359.743129546","5363073.88489741","203057.279377701","1162816.44343349","694522.390310805","5397302.77256115","1969234.55298346","1548559.6766775","874931.196085787","850142.306141276"
"698.5/81","6283.77810700358","0","576558.915201008","376059.521518841","29313.2311086431","101185.08786491","2497094.46896142","27224.4015673769","113424.16189904","38936.4895658791","140340.096986525","445592.247467576","244566.437803125","217781.974809323","332224.040907891"
"701.9/3","0","0","0","0","0","0","150864.890583336","1421.34792797344","26660.1778370956","6170153.59952224","1647933.09032813","3014837.58887822","0","0","0"
"709.5/48","2359443.73242189","4563014.06315142","19016744.7807315","17245665.1766905","12593158.6967361","5680326.07063444","14634072.521445","1983844.69598824","14880444.3165348","12002775.0120309","2105370.03076249","11746571.7528163","4348714.12743035","4178400.91443092","2528077.8978753"
"713.9/3","0","0","0","0","0","0","1640418.18262504","212336.68829528","0","7100969.75153725","2041250.22541783","2934946.39295157","0","0","0"
"715.6/30","14401626.2535128","10290835.8106769","1911849.47478838","6884413.274","10190554.6587929","7588867.43344112","16907646.038346","10722762.9532786","16239224.2575757","8642778.77956962","2738271.21517508","10954153.980935","86175.1899632508","4157432.20790625","2946701.81771129"
"725.5/81","931904.339687228","269871.786576483","15978397.0759062","16126862.090286","2256022.76350317","3900490.58605797","72227207.9079437","1629504.4223048","9149716.93469673","5644334.64763126","40564673.9655809","13233405.5077924","8194403.66222292","6390437.79875364","3068375.46228346"
"726.5/84","295053.21708038","0","5094369.32811979","4879634.98960357","626854.130551189","622186.784636753","31468950.1118972","514337.398158632","2658531.80440398","1660797.39666155","10310592.8797159","4411388.16144091","3406277.02783402","1762502.22711351","1781044.53515833"
"752.6/10","0","0","319834.318515625","133538.685408416","0","59591.1016121484","0","674306.021789077","57936.785950091","9321.366276443","0","0","198655.423561668","790843.253850864","372901.729063055"
"753.5/81","7090.27561760743","65302.6773216018","15897486.9706036","13259379.4110707","2266140.36886426","4149576.67079704","79664020.6232519","1605571.08312517","9746806.57098607","5797313.81591423","42233215.1747286","12959190.5348267","8359243.25649547","6327413.57056375","184885.736654368"
"754.5/74","322556.298029774","154446.007139784","61664.564475293","5606499.47646828","904567.897833565","1776209.51813031","36803768.4572012","705568.671452142","4202057.65143828","2542879.11618329","12336883.6964402","5856678.35384733","4066382.72866264","2823989.57250101","2142074.63209637"
"761.5/20","7760.29746504767","0","10521.6394710379","0","0","0","139987.732920438","36641.6512399018","0","0","36734.3996504616","104885.717822578","0","9304.95218375698","28630.1573041789"
"762.6/2","2807982.54138561","5221340.25106033","4892015.36986031","1090187.13832483","3035876.03663146","1739711.12716004","2215441.35368545","1763231.44816268","1839980.79903604","236590.472077502","599722.992414798","1129695.82157894","1936436.19217822","326709.93751025","2117818.3845"
"763.6/4","2002479.78436805","2728956.72170601","2694604.53438794","626116.332743292","1826314.31256705","1122087.64880713","1666304.66595453","1426721.87003374","1102177.16404562","60552.6619736015","452342.777782933","59779.1917033593","1053650.74675017","273497.220251092","3267230.99871753"
"919.6/59","0","0","0","0","23880.1503719389","0","0","0","0","84761.4794921875","0","113308.172425625","0","0","0"
"1000.8/5","4410407.53833721","6597566.00866625","3941430.65195594","2463091.94213888","2723230.66527434","3000410.72050849","22486657.4539718","2851192.50326534","4077937.6915492","2530840.42000507","2426399.90381583","11650444.9277728","400211.261200749","3363822.21479744","499070.535896656"
"1001.8/16","2759527.20843926","4418593.66011768","2939835.90820956","1745913.71118056","1752549.28344385","2018535.941627","4392988.08773798","1967382.04364932","2679169.53956846","1643848.67963544","1682835.76184333","7310768.64473392","383505.765147623","2894630.26739432","370396.208121515"
"1015.8/105","38722.9868220981","88894.8205409423","3412.06825439011","94328.7312988937","401657.305952698","59236.4068918079","8639.40120132267","48540.5531627738","320377.138297677","259032.178761363","63813.6083913196","73900.9645556641","0","12149.5442729877","3712.41118582338"
"1055.7/106","23469.9061558843","36973.1300657541","17628.3162801266","31690.7643860752","121186.611232102","20633.220798701","0","4191.20720721781","61826.4583748579","60905.5857217073","116556.734492187","119381.780875","0","0","9957.03865730166"
"1131.8/7","0","150137.839304531","466403.704958594","0","5082.45983739975","23689.2632700317","0","11731.3015446376","0","0","0","0","0","0","17519.7847375174"
"1322.7/5","383892.735021667","196141.391568141","41059.0992306434","128464.369527855","199946.592727285","181287.228262736","136690.397464914","42053.4422232422","152666.346585938","233066.450047091","29024.6665612793","97370.1102995407","0","67960.2003786296","0"
"1325.9/8","20223401.4487964","27445904.8512731","17108810.8417804","8486532.31869588","14216677.7920985","14267123.8039907","80389231.48375","9296878.22485214","25991321.4226729","12527003.8722092","6627041.55899476","78348536.1391602","931604.236410435","25778387.087375","1488696.14078497"
"1347.9/2","68783419.3302175","74564384.2276116","41505680.4865331","49109516.7311368","87563154.0354236","73219417.4223761","83036094.2786784","31088591.3811732","92590826.2269422","97891807.4139659","44017457.3122823","63781997.0489807","12998399.9495073","27054677.3256141","18485381.855618"
"1348.9/2","63801810.0379664","69668156.2351528","38279653.9125107","45404815.2364174","82158735.7193425","67957234.5436857","76150124.5005297","29243241.6269222","85713070.2904443","90965385.4204811","40959510.2281618","59728256.1206773","12312467.7626766","25733144.3501195","16962907.9658818"
"1349.9/3","31900873.1130716","36077881.0664668","19040730.295151","23980235.2035818","39556359.4799034","36029036.0660031","48274026.9480532","15068071.7168369","44889922.3192062","46459802.0620746","21091394.5164688","33016066.1271034","5503850.57157431","11932230.1654832","8426608.92852434"
"1350.9/2","9400559.56304205","10088223.0949082","5644987.6184515","6293804.71761813","11139132.8371984","10032527.779827","11035641.8869473","4332920.80673777","11998233.0525072","13212698.4395938","6040291.17702702","8770769.35226973","1766519.34411762","3733651.25886465","2198087.61627998"
"1402.8/2","0","0","0","0","0","0","51371.0029307904","13641.3484906371","0","8601889.68765875","2251339.64386712","6522081.65282129","0","0","0"
"1403.8/2","0","0","0","0","0","0","98321.3319951178","10559.448371764","0","6592280.10753771","1941074.32944833","7025386.27633058","0","0","0"
"1404.8/10","0","0","0","0","0","0","1028426.4401565","258727.747882714","0","8623057.55926104","63852.2585118748","4414361.58775854","0","0","0"
